"KEGG_pathway_name"	"KEGG_pathway_ID"	"Pathway_Class"	"HMDB.ID"	"N_met"
"Histidine metabolism"	"map00340"	"Amino acid metabolism"	"HMDB0000001;HMDB0000033;HMDB0000045;HMDB0000051;HMDB0000056;HMDB0000148;HMDB0000177;HMDB0000194;HMDB0000217;HMDB0000221;HMDB0000250;HMDB0000301;HMDB0000464;HMDB0000479;HMDB0000538;HMDB0000657;HMDB0000854;HMDB0000870;HMDB0000898;HMDB0000902;HMDB0000939;HMDB0001014;HMDB0001185;HMDB0001248;HMDB0001333;HMDB0001341;HMDB0001377;HMDB0001429;HMDB0001487;HMDB0001491;HMDB0001534;HMDB0001846;HMDB0001967;HMDB0002024;HMDB0002111;HMDB0002820;HMDB0003125;HMDB0003905;HMDB0004181;HMDB0011639;HMDB0015532;HMDB0059597"	42
"beta-Alanine metabolism"	"map00410"	"Metabolism of other amino acids"	"HMDB0000002;HMDB0000026;HMDB0000033;HMDB0000051;HMDB0000056;HMDB0000076;HMDB0000148;HMDB0000177;HMDB0000191;HMDB0000194;HMDB0000208;HMDB0000210;HMDB0000217;HMDB0000221;HMDB0000300;HMDB0000464;HMDB0000479;HMDB0000657;HMDB0000902;HMDB0001106;HMDB0001206;HMDB0001248;HMDB0001377;HMDB0001423;HMDB0001487;HMDB0001491;HMDB0001520;HMDB0001967;HMDB0002111;HMDB0003125;HMDB0011111;HMDB0011639;HMDB0015532;HMDB0059597"	34
"Glycine, serine and threonine metabolism"	"map00260"	"Amino acid metabolism"	"HMDB0000005;HMDB0000043;HMDB0000045;HMDB0000050;HMDB0000051;HMDB0000064;HMDB0000092;HMDB0000097;HMDB0000099;HMDB0000119;HMDB0000123;HMDB0000128;HMDB0000139;HMDB0000148;HMDB0000161;HMDB0000167;HMDB0000187;HMDB0000208;HMDB0000214;HMDB0000218;HMDB0000243;HMDB0000250;HMDB0000271;HMDB0000272;HMDB0000517;HMDB0000538;HMDB0000547;HMDB0000574;HMDB0000586;HMDB0000696;HMDB0000742;HMDB0000807;HMDB0000902;HMDB0000939;HMDB0001022;HMDB0001024;HMDB0001149;HMDB0001167;HMDB0001185;HMDB0001206;HMDB0001248;HMDB0001252;HMDB0001341;HMDB0001352;HMDB0001377;HMDB0001396;HMDB0001423;HMDB0001426;HMDB0001429;HMDB0001451;HMDB0001487;HMDB0001491;HMDB0001533;HMDB0001846;HMDB0001967;HMDB0002111;HMDB0002134;HMDB0003125;HMDB0003406;HMDB0006454;HMDB0012210;HMDB0013639;HMDB0014312;HMDB0015532"	64
"Cysteine and methionine metabolism"	"map00270"	"Amino acid metabolism"	"HMDB0000005;HMDB0000043;HMDB0000045;HMDB0000050;HMDB0000051;HMDB0000092;HMDB0000097;HMDB0000099;HMDB0000123;HMDB0000148;HMDB0000187;HMDB0000208;HMDB0000240;HMDB0000243;HMDB0000250;HMDB0000271;HMDB0000538;HMDB0000547;HMDB0000574;HMDB0000586;HMDB0000692;HMDB0000696;HMDB0000719;HMDB0000742;HMDB0000902;HMDB0000939;HMDB0000963;HMDB0000972;HMDB0000988;HMDB0000996;HMDB0001049;HMDB0001173;HMDB0001185;HMDB0001248;HMDB0001257;HMDB0001341;HMDB0001368;HMDB0001377;HMDB0001396;HMDB0001405;HMDB0001414;HMDB0001429;HMDB0001453;HMDB0001487;HMDB0001491;HMDB0001533;HMDB0001553;HMDB0001846;HMDB0001967;HMDB0002005;HMDB0002084;HMDB0002111;HMDB0002127;HMDB0003125;HMDB0003276;HMDB0015532"	56
"Propanoate metabolism"	"map00640"	"Carbohydrate metabolism"	"HMDB0000005;HMDB0000008;HMDB0000030;HMDB0000045;HMDB0000056;HMDB0000148;HMDB0000202;HMDB0000208;HMDB0000237;HMDB0000250;HMDB0000538;HMDB0000595;HMDB0000700;HMDB0000883;HMDB0000902;HMDB0001022;HMDB0001175;HMDB0001206;HMDB0001248;HMDB0001275;HMDB0001333;HMDB0001341;HMDB0001362;HMDB0001372;HMDB0001423;HMDB0001429;HMDB0001484;HMDB0001487;HMDB0001491;HMDB0001967;HMDB0002086;HMDB0002111;HMDB0002170;HMDB0002217;HMDB0002255;HMDB0002307;HMDB0002310;HMDB0003426;HMDB0006806;HMDB0006807;HMDB0011111;HMDB0059597"	42
"Selenocompound metabolism"	"map00450"	"Metabolism of other amino acids"	"HMDB0000005;HMDB0000045;HMDB0000050;HMDB0000051;HMDB0000161;HMDB0000187;HMDB0000250;HMDB0000538;HMDB0000902;HMDB0001341;HMDB0001429;HMDB0001491;HMDB0002111;HMDB0003288;HMDB0003840;HMDB0003966;HMDB0004112;HMDB0004113;HMDB0004119;HMDB0004122;HMDB0006343;HMDB0010716;HMDB0011104;HMDB0011110;HMDB0011117;HMDB0011118;HMDB0011119"	27
"Ketone Body Metabolism"	"map00072"	"Lipid metabolism"	"HMDB0000011;HMDB0000060;HMDB0000254;HMDB0000902;HMDB0001022;HMDB0001206;HMDB0001375;HMDB0001423;HMDB0001484;HMDB0001487;HMDB0001659;HMDB0001967;HMDB0002111"	13
"Pyrimidine metabolism"	"map00240"	"Nucleotide metabolism"	"HMDB0000012;HMDB0000014;HMDB0000026;HMDB0000051;HMDB0000056;HMDB0000076;HMDB0000079;HMDB0000082;HMDB0000089;HMDB0000095;HMDB0000217;HMDB0000218;HMDB0000221;HMDB0000226;HMDB0000250;HMDB0000262;HMDB0000273;HMDB0000280;HMDB0000285;HMDB0000288;HMDB0000295;HMDB0000296;HMDB0000300;HMDB0000464;HMDB0000538;HMDB0000547;HMDB0000595;HMDB0000641;HMDB0000692;HMDB0000828;HMDB0000998;HMDB0001000;HMDB0001056;HMDB0001096;HMDB0001191;HMDB0001202;HMDB0001227;HMDB0001245;HMDB0001248;HMDB0001274;HMDB0001341;HMDB0001342;HMDB0001351;HMDB0001409;HMDB0001429;HMDB0001489;HMDB0001520;HMDB0001533;HMDB0001546;HMDB0001967;HMDB0002031;HMDB0002111;HMDB0003349;HMDB0003364;HMDB0003540;HMDB0003911;HMDB0015532"	57
"Steroid hormone biosynthesis"	"map00140"	"Lipid metabolism"	"HMDB0000015;HMDB0000016;HMDB0000037;HMDB0000063;HMDB0000067;HMDB0000217;HMDB0000221;HMDB0000253;HMDB0000268;HMDB0000319;HMDB0000363;HMDB0000374;HMDB0000902;HMDB0000903;HMDB0000949;HMDB0001318;HMDB0001377;HMDB0001487;HMDB0001547;HMDB0001830;HMDB0002111;HMDB0002802;HMDB0003178;HMDB0003259;HMDB0003759;HMDB0004026;HMDB0004029;HMDB0004030;HMDB0004031;HMDB0004035;HMDB0006283;HMDB0006753;HMDB0006754;HMDB0006755;HMDB0006756;HMDB0006757;HMDB0006758;HMDB0006759;HMDB0006760;HMDB0006762;HMDB0006763;HMDB0006764;HMDB0059597"	43
"Vitamin B6 metabolism"	"map00750"	"Cofactors and vitamins metabolism"	"HMDB0000017;HMDB0000051;HMDB0000239;HMDB0000547;HMDB0001248;HMDB0001319;HMDB0001377;HMDB0001429;HMDB0001431;HMDB0001491;HMDB0001520;HMDB0001545;HMDB0001555;HMDB0002111;HMDB0003125;HMDB0003344;HMDB0006954;HMDB0006955;HMDB0015532"	19
