"reactome_name"	"reactome_id"	"up_reactome_name"	"up_reactome_id"	"HMDB.ID"	"N_met"
"G alpha (i) signalling events"	"R-HSA-418594"	"GPCR downstream signalling"	"R-HSA-388396"	"HMDB0015464;HMDB0000895;HMDB0001220;HMDB0001403;HMDB0002200;HMDB0014611;HMDB0001488;HMDB0035921;HMDB0302538;HMDB0013609;HMDB0000050;HMDB0001389;HMDB0001198;HMDB0001201;HMDB0014589;HMDB0003546;HMDB0003345;HMDB0000258;HMDB0029943;HMDB0000547;HMDB0015466;HMDB0035742;HMDB0004080;HMDB0035030;HMDB0001847;HMDB0015245;HMDB0248598;HMDB0302701;HMDB0003080;HMDB0001894;HMDB0001218;HMDB0000464;HMDB0029723;HMDB0006111;HMDB0038445;HMDB0303206;HMDB0000190;HMDB0242470;HMDB0004666;HMDB0010217;HMDB0005096;HMDB0004385;HMDB0005843;HMDB0031849;HMDB0033439;HMDB0034070"	46
"Class C/3 (Metabotropic glutamate/pheromone receptors)"	"R-HSA-420499"	"GPCR ligand binding"	"R-HSA-500792"	"HMDB0015464;HMDB0014611;HMDB0035921;HMDB0302538;HMDB0013609;HMDB0014589;HMDB0003546;HMDB0003345;HMDB0000258;HMDB0029943;HMDB0015466;HMDB0035742;HMDB0035030;HMDB0001847;HMDB0015245;HMDB0248598;HMDB0302701;HMDB0001894;HMDB0001218;HMDB0000464;HMDB0029723;HMDB0062762;HMDB0038445;HMDB0303206;HMDB0005843;HMDB0031849;HMDB0033439;HMDB0034070"	28
"Sensory perception of sweet, bitter, and umami (glutamate) taste"	"R-HSA-9717207"	"Sensory perception of taste"	"R-HSA-9717189"	"HMDB0015464;HMDB0132905;HMDB0002111;HMDB0014611;HMDB0304270;HMDB0035921;HMDB0302538;HMDB0013609;HMDB0002802;HMDB0032039;HMDB0014589;HMDB0003546;HMDB0003345;HMDB0000258;HMDB0001453;HMDB0029943;HMDB0015466;HMDB0035742;HMDB0035030;HMDB0001847;HMDB0004461;HMDB0015245;HMDB0248598;HMDB0302701;HMDB0062769;HMDB0001894;HMDB0001218;HMDB0000588;HMDB0000464;HMDB0015128;HMDB0029723;HMDB0014539;HMDB0038445;HMDB0015016;HMDB0303206;HMDB0252331;HMDB0014395;HMDB0244053;HMDB0001859;HMDB0256448;HMDB0015361;HMDB0014901;HMDB0005843;HMDB0031849;HMDB0033439;HMDB0015304;HMDB0033585;HMDB0014690;HMDB0034070"	49
"Histamine receptors"	"R-HSA-390650"	"Amine ligand-binding receptors"	"R-HSA-375280"	"HMDB0014391;HMDB0014644;HMDB0014507;HMDB0005012;HMDB0005021"	5
"Dopamine receptors"	"R-HSA-390651"	"Amine ligand-binding receptors"	"R-HSA-375280"	"HMDB0014391;HMDB0014535;HMDB0014507;HMDB0015633;HMDB0005012;HMDB0005021"	6
"Serotonin receptors"	"R-HSA-390666"	"Amine ligand-binding receptors"	"R-HSA-375280"	"HMDB0014391;HMDB0014507;HMDB0015317;HMDB0253402;HMDB0005012;HMDB0015095;HMDB0005021"	7
"Phase 2 - plateau phase"	"R-HSA-5576893"	"Cardiac conduction"	"R-HSA-5576891"	"HMDB0014487;HMDB0005018;HMDB0000586;HMDB0000464;HMDB0015158;HMDB0015247;HMDB0014537;HMDB0015187"	8
"Adrenoceptors"	"R-HSA-390696"	"Amine ligand-binding receptors"	"R-HSA-375280"	"HMDB0247729;HMDB0015324;HMDB0015411;HMDB0015099;HMDB0001924;HMDB0014341;HMDB0014627;HMDB0015267;HMDB0015399;HMDB0014771;HMDB0041872;HMDB0014979;HMDB0014728;HMDB0014736;HMDB0014632;HMDB0015197;HMDB0015341;HMDB0014861;HMDB0015608;HMDB0001932;HMDB0037507;HMDB0015070;HMDB0002182;HMDB0015095;HMDB0014600;HMDB0001849;HMDB0015293"	27
"Organic anion transport"	"R-HSA-561048"	"Organic cation/anion/zwitterion transport"	"R-HSA-549132"	"HMDB0001867;HMDB0001425;HMDB0000289;HMDB0014925;HMDB0014644;HMDB0000190"	6
"Leukotriene receptors"	"R-HSA-391906"	"Eicosanoid ligand-binding receptors"	"R-HSA-391903"	"HMDB0258454;HMDB0001085;HMDB0002995;HMDB0002200;HMDB0001198;HMDB0003080"	6
"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"	"R-HSA-77288"	"Mitochondrial Fatty Acid Beta-Oxidation"	"R-HSA-77289"	"HMDB0003948;HMDB0002111;HMDB0059597;HMDB0001064;HMDB0003952;HMDB0062630;HMDB0062344;HMDB0002137"	8
"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA"	"R-HSA-77346"	"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	"R-HSA-77286"	"HMDB0003948;HMDB0002111;HMDB0059597;HMDB0001070;HMDB0000221;HMDB0304435;HMDB0003938;HMDB0303998;HMDB0006404;HMDB0304325;HMDB0003939"	11
"GDP-fucose biosynthesis"	"R-HSA-6787639"	"Synthesis of substrates in N-glycan biosythesis"	"R-HSA-446219"	"HMDB0001265;HMDB0002111;HMDB0059597;HMDB0001346;HMDB0001391;HMDB0001095;HMDB0000174;HMDB0059625"	8
