"SMPDB.Name"	"SMPDB.ID"	"Pathway.Class"	"TermSize"	"N_Hit"	"Hit"	"pvalue"	"MetaboliteRatio"	"BgRatio"	"FoldEnrichment"	"EnrichmentFactor"	"p.adjust"
"Phosphatidylethanolamine Biosynthesis"	"SMP0029731"	"Metabolic"	1229	148	"HMDB0008823;HMDB0007014;HMDB0007888;HMDB0007889;HMDB0007042;HMDB0007915;HMDB0007920;HMDB0008882;HMDB0007099;HMDB0007971;HMDB0007976;HMDB0007979;HMDB0008942;HMDB0007118;HMDB0007127;HMDB0012368;HMDB0008007;HMDB0008011;HMDB0008013;HMDB0008014;HMDB0008974;HMDB0008977;HMDB0008978;HMDB0007154;HMDB0008035;HMDB0008042;HMDB0009000;HMDB0009003;HMDB0007171;HMDB0008055;HMDB0007182;HMDB0008069;HMDB0008073;HMDB0008074;HMDB0009032;HMDB0007197;HMDB0007198;HMDB0009038;HMDB0007211;HMDB0008100;HMDB0008103;HMDB0000593;HMDB0008106;HMDB0008107;HMDB0009065;HMDB0007226;HMDB0007227;HMDB0009071;HMDB0008135;HMDB0008138;HMDB0008141;HMDB0009097;HMDB0007254;HMDB0009103;HMDB0008167;HMDB0008169;HMDB0008170;HMDB0007282;HMDB0009133;HMDB0009134;HMDB0008200;HMDB0008202;HMDB0008203;HMDB0007311;HMDB0009166;HMDB0009167;HMDB0009173;HMDB0007324;HMDB0008233;HMDB0008234;HMDB0007339;HMDB0009198;HMDB0008263;HMDB0009225;HMDB0007367;HMDB0008295;HMDB0008299;HMDB0009256;HMDB0009257;HMDB0007394;HMDB0007395;HMDB0009276;HMDB0007411;HMDB0008331;HMDB0009288;HMDB0007422;HMDB0009294;HMDB0007438;HMDB0007439;HMDB0009309;HMDB0008362;HMDB0008365;HMDB0007449;HMDB0007450;HMDB0009325;HMDB0009326;HMDB0007466;HMDB0008395;HMDB0008398;HMDB0007478;HMDB0007479;HMDB0009358;HMDB0009359;HMDB0007495;HMDB0007506;HMDB0009390;HMDB0008459;HMDB0008462;HMDB0007535;HMDB0009423;HMDB0007542;HMDB0009454;HMDB0009455;HMDB0007581;HMDB0007587;HMDB0007614;HMDB0008559;HMDB0009518;HMDB0009522;HMDB0007641;HMDB0007642;HMDB0008590;HMDB0009550;HMDB0007665;HMDB0007669;HMDB0008623;HMDB0007678;HMDB0007690;HMDB0007691;HMDB0007697;HMDB0009617;HMDB0007718;HMDB0007725;HMDB0009650;HMDB0007747;HMDB0007748;HMDB0009662;HMDB0007754;HMDB0008711;HMDB0008717;HMDB0009682;HMDB0007775;HMDB0009696;HMDB0007782;HMDB0009746;HMDB0007827;HMDB0007839;HMDB0007841"	6.54715548005283e-112	0.44578313253012	0.105893503360331	4.20973070475555	6.98815296989422	1.38555278758736e-109
"Phosphatidylcholine Biosynthesis"	"SMP0014212"	"Metabolic"	1231	148	"HMDB0008823;HMDB0007014;HMDB0007888;HMDB0007889;HMDB0007042;HMDB0007915;HMDB0007920;HMDB0008882;HMDB0007099;HMDB0007971;HMDB0007976;HMDB0007979;HMDB0008942;HMDB0007118;HMDB0007127;HMDB0012368;HMDB0008007;HMDB0008011;HMDB0008013;HMDB0008014;HMDB0008974;HMDB0008977;HMDB0008978;HMDB0007154;HMDB0008035;HMDB0008042;HMDB0009000;HMDB0009003;HMDB0007171;HMDB0008055;HMDB0007182;HMDB0008069;HMDB0008073;HMDB0008074;HMDB0009032;HMDB0007197;HMDB0007198;HMDB0009038;HMDB0007211;HMDB0008100;HMDB0008103;HMDB0000593;HMDB0008106;HMDB0008107;HMDB0009065;HMDB0007226;HMDB0007227;HMDB0009071;HMDB0008135;HMDB0008138;HMDB0008141;HMDB0009097;HMDB0007254;HMDB0009103;HMDB0008167;HMDB0008169;HMDB0008170;HMDB0007282;HMDB0009133;HMDB0009134;HMDB0008200;HMDB0008202;HMDB0008203;HMDB0007311;HMDB0009166;HMDB0009167;HMDB0009173;HMDB0007324;HMDB0008233;HMDB0008234;HMDB0007339;HMDB0009198;HMDB0008263;HMDB0009225;HMDB0007367;HMDB0008295;HMDB0008299;HMDB0009256;HMDB0009257;HMDB0007394;HMDB0007395;HMDB0007411;HMDB0009276;HMDB0008331;HMDB0009288;HMDB0007422;HMDB0009294;HMDB0007438;HMDB0007439;HMDB0009309;HMDB0008362;HMDB0008365;HMDB0007449;HMDB0007450;HMDB0009325;HMDB0009326;HMDB0007466;HMDB0008395;HMDB0008398;HMDB0007478;HMDB0007479;HMDB0009358;HMDB0009359;HMDB0007495;HMDB0007506;HMDB0009390;HMDB0008459;HMDB0008462;HMDB0007535;HMDB0009423;HMDB0007542;HMDB0009454;HMDB0009455;HMDB0007581;HMDB0007587;HMDB0007614;HMDB0008559;HMDB0009518;HMDB0009522;HMDB0007641;HMDB0007642;HMDB0008590;HMDB0009550;HMDB0007665;HMDB0007669;HMDB0008623;HMDB0007678;HMDB0007690;HMDB0007691;HMDB0007697;HMDB0009617;HMDB0007718;HMDB0007725;HMDB0009650;HMDB0007747;HMDB0007748;HMDB0009662;HMDB0007754;HMDB0008711;HMDB0008717;HMDB0009682;HMDB0007775;HMDB0009696;HMDB0007782;HMDB0009746;HMDB0007827;HMDB0007839;HMDB0007841"	8.34670353968289e-112	0.44578313253012	0.10606582801999	4.2028911747722	6.97679935012185	1.38555278758736e-109
"Cardiolipin Biosynthesis"	"SMP0020986"	"Metabolic"	114	17	"HMDB0010614;HMDB0010627;HMDB0010628;HMDB0010642;HMDB0010643;HMDB0010659;HMDB0116579;HMDB0116580;HMDB0116582;HMDB0116583;HMDB0116586;HMDB0116593;HMDB0116616;HMDB0116617;HMDB0116624;HMDB0116625;HMDB0116630"	2.43261134115949e-14	0.0512048192771084	0.00982250560055144	5.21300993447474	8.65359649122807	2.6920898842165e-12
"Aspartate Metabolism"	"SMP0000067"	"Metabolic"	20	7	"HMDB0000148;HMDB0000191;HMDB0000641;HMDB0000168;HMDB0006483;HMDB0000812;HMDB0000517"	1.87682474937881e-09	0.0210843373493976	0.00172324659658797	12.2352409638554	20.3105	1.03850969465627e-07
"Canavan Disease"	"SMP0000175"	"Disease"	20	7	"HMDB0000148;HMDB0000191;HMDB0000641;HMDB0000168;HMDB0006483;HMDB0000812;HMDB0000517"	1.87682474937881e-09	0.0210843373493976	0.00172324659658797	12.2352409638554	20.3105	1.03850969465627e-07
"Hypoacetylaspartia"	"SMP0000192"	"Disease"	20	7	"HMDB0000148;HMDB0000191;HMDB0000641;HMDB0000168;HMDB0006483;HMDB0000812;HMDB0000517"	1.87682474937881e-09	0.0210843373493976	0.00172324659658797	12.2352409638554	20.3105	1.03850969465627e-07
"Glutamate Metabolism"	"SMP0000072"	"Metabolic"	32	7	"HMDB0000148;HMDB0000641;HMDB0001397;HMDB0001301;HMDB0000161;HMDB0000191;HMDB0000112"	7.2258730181609e-08	0.0210843373493976	0.00275719455454075	7.64702560240964	12.6940625	1.99915820169118e-06
"4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency"	"SMP0000243"	"Disease"	32	7	"HMDB0000148;HMDB0000641;HMDB0001397;HMDB0001301;HMDB0000161;HMDB0000191;HMDB0000112"	7.2258730181609e-08	0.0210843373493976	0.00275719455454075	7.64702560240964	12.6940625	1.99915820169118e-06
"Homocarnosinosis"	"SMP0000385"	"Disease"	32	7	"HMDB0000148;HMDB0000641;HMDB0001397;HMDB0001301;HMDB0000161;HMDB0000191;HMDB0000112"	7.2258730181609e-08	0.0210843373493976	0.00275719455454075	7.64702560240964	12.6940625	1.99915820169118e-06
"Hyperinsulinism-Hyperammonemia Syndrome"	"SMP0000339"	"Disease"	32	7	"HMDB0000148;HMDB0000641;HMDB0001397;HMDB0001301;HMDB0000161;HMDB0000191;HMDB0000112"	7.2258730181609e-08	0.0210843373493976	0.00275719455454075	7.64702560240964	12.6940625	1.99915820169118e-06
