"Term.Name"	"Group"	"TermClass"	"TermSize"	"N_Hit"	"Hit"	"pvalue"	"MetaboliteRatio"	"BgRatio"	"FoldEnrichment"	"EnrichmentFactor"	"p.adjust"	"Supplement"	"main"
"Alanine, Aspartate and Glutamate Metabolism_HUBMet_Pathway"	1	"HUBMet_Pathway"	35	30	"HUBMet000003;HUBMet000010;HUBMet000012;HUBMet000035;HUBMet000065;HUBMet000139;HUBMet000341;HUBMet000342;HUBMet000354;HUBMet000435;HUBMet000452;HUBMet000453;HUBMet000492;HUBMet000570;HUBMet000734;HUBMet000747;HUBMet000847;HUBMet000877;HUBMet001034;HUBMet001112;HUBMet001434;HUBMet001612;HUBMet001625;HUBMet001646;HUBMet001689;HUBMet001690;HUBMet001691;HUBMet001695;HUBMet001696;HUBMet001796"	1.04818787079005e-41	0.234375	0.0215916101172116	10.8549107142857	22.4101382488479	4.82166420563423e-40	""	TRUE
"Aspartate Metabolism_HUBMet_Pathway"	2	"HUBMet_Pathway"	21	7	"HUBMet000012;HUBMet001034;HUBMet001689;HUBMet001691;HUBMet001695;HUBMet001696;HUBMet001796"	2.29240788627962e-06	0.0546875	0.012954966070327	4.22135416666667	8.71505376344086	5.27253813844313e-05	""	TRUE
"Glutamate Metabolism_HUBMet_Pathway"	2	"HUBMet_Pathway"	33	7	"HUBMet000003;HUBMet000354;HUBMet001612;HUBMet001646;HUBMet001691;HUBMet001695;HUBMet001696"	6.11517782992665e-05	0.0546875	0.0203578038247995	2.68631628787879	5.54594330400782	0.000937660600588753	""	FALSE
"Ammonia Recycling_HUBMet_Pathway"	2	"HUBMet_Pathway"	18	4	"HUBMet000012;HUBMet001691;HUBMet001695;HUBMet001696"	0.00213854204178722	0.03125	0.0111042566317088	2.81423611111111	5.81003584229391	0.024593233480553	""	FALSE
"Purine Metabolism_HUBMet_Pathway"	2	"HUBMet_Pathway"	45	6	"HUBMet000377;HUBMet001644;HUBMet001646;HUBMet001691;HUBMet001695;HUBMet001696"	0.00275309365335922	0.046875	0.0277606415792721	1.68854166666667	3.48602150537634	0.0253284616109048	""	FALSE
"Urea Cycle_HUBMet_Pathway"	2	"HUBMet_Pathway"	39	5	"HUBMet000003;HUBMet001689;HUBMet001691;HUBMet001695;HUBMet001696"	0.00737589325258974	0.0390625	0.0240592227020358	1.62359775641026	3.35194375516956	0.0565485149365213	""	FALSE
"Arginine and Proline Metabolism_HUBMet_Pathway"	2	"HUBMet_Pathway"	55	5	"HUBMet000354;HUBMet000570;HUBMet001689;HUBMet001691;HUBMet001695"	0.0297671868167373	0.0390625	0.0339296730413325	1.15127840909091	2.37683284457478	0.124480963051811	""	FALSE
"phosphatidylethanolamine biosynthesis_HUBMet_Pathway"	3	"HUBMet_Pathway"	248	15	"HUBMet000190;HUBMet000197;HUBMet000412;HUBMet000655;HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet002134;HUBMet002682;HUBMet003090"	0.0116138744232518	0.1171875	0.152991980259099	0.765971522177419	1.58136056191467	0.0712159070087909	""	TRUE
"phosphatidylcholine biosynthesis_HUBMet_Pathway"	3	"HUBMet_Pathway"	250	15	"HUBMet000190;HUBMet000197;HUBMet000412;HUBMet000655;HUBMet001452;HUBMet001478;HUBMet001483;HUBMet001486;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet002134;HUBMet002682;HUBMet003090"	0.012449157543668	0.1171875	0.154225786551511	0.75984375	1.56870967741935	0.0712159070087909	""	FALSE
"Glycerophospholipid metabolism_HUBMet_Pathway"	3	"HUBMet_Pathway"	394	18	"HUBMet000162;HUBMet000190;HUBMet000197;HUBMet000412;HUBMet000637;HUBMet000655;HUBMet001152;HUBMet001737;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet002134;HUBMet002227;HUBMet002682;HUBMet002787;HUBMet003090;HUBMet003125"	0.0734759986201036	0.140625	0.243059839605182	0.578561230964467	1.1944489929589	0.225326395768318	""	FALSE
"Phospholipid Metabolism_HUBMet_Pathway"	3	"HUBMet_Pathway"	301	13	"HUBMet000162;HUBMet000637;HUBMet001152;HUBMet001737;HUBMet001908;HUBMet002045;HUBMet002048;HUBMet002055;HUBMet002134;HUBMet002227;HUBMet002682;HUBMet002787;HUBMet003125"	0.160869068405119	0.1015625	0.18568784700802	0.546952865448505	1.12919301253885	0.411109841479748	""	FALSE
"Malate-Aspartate Shuttle_HUBMet_Pathway"	4	"HUBMet_Pathway"	6	2	"HUBMet001691;HUBMet001695"	0.0139335470234591	0.015625	0.00370141887723627	4.22135416666667	8.71505376344086	0.0712159070087909	""	TRUE
"Glucose-Alanine Cycle_HUBMet_Pathway"	4	"HUBMet_Pathway"	7	2	"HUBMet000003;HUBMet001695"	0.0191023431074286	0.015625	0.00431832202344232	3.61830357142857	7.47004608294931	0.0878707782941716	""	FALSE
"Selenoamino Acid Metabolism_HUBMet_Pathway"	5	"HUBMet_Pathway"	11	2	"HUBMet000003;HUBMet000377"	0.0460315138245408	0.015625	0.0067859346082665	2.30255681818182	4.75366568914956	0.176454136327406	""	TRUE
"Alanine Metabolism_HUBMet_Pathway"	5	"HUBMet_Pathway"	13	2	"HUBMet000003;HUBMet001695"	0.0626388793086865	0.015625	0.00801974090067859	1.94831730769231	4.02233250620347	0.208491422564593	""	FALSE
"Glycine, Serine and Threonine Metabolism_HUBMet_Pathway"	5	"HUBMet_Pathway"	47	3	"HUBMet000003;HUBMet001689;HUBMet001695"	0.188242047355688	0.0234375	0.0289944478716841	0.808344414893617	1.66884008236102	0.413834155453832	""	FALSE
"Cysteine Metabolism_HUBMet_Pathway"	5	"HUBMet_Pathway"	12	1	"HUBMet001695"	0.322762940985626	0.0078125	0.00740283775447255	1.05533854166667	2.17876344086022	0.492203298891898	""	FALSE
"Betaine Metabolism_HUBMet_Pathway"	5	"HUBMet_Pathway"	14	1	"HUBMet000377"	0.365428362057325	0.0078125	0.00863664404688464	0.904575892857143	1.86751152073733	0.500972533377459	""	FALSE
"Methionine Metabolism_HUBMet_Pathway"	5	"HUBMet_Pathway"	27	1	"HUBMet000377"	0.584626070499192	0.0078125	0.0166563849475632	0.469039351851852	0.968339307048984	0.726832411971968	""	FALSE
"Nicotinate and Nicotinamide Metabolism_HUBMet_Pathway"	6	"HUBMet_Pathway"	29	3	"HUBMet001695;HUBMet001696;HUBMet002279"	0.0634539112153108	0.0234375	0.0178901912399753	1.31007543103448	2.70467185761958	0.208491422564593	""	TRUE
"Folate Metabolism_HUBMet_Pathway"	6	"HUBMet_Pathway"	11	1	"HUBMet001695"	0.300374939034737	0.0078125	0.0067859346082665	1.15127840909091	2.37683284457478	0.492203298891898	""	FALSE
"Histidine Metabolism_HUBMet_Pathway"	6	"HUBMet_Pathway"	42	1	"HUBMet001695"	0.745713223335955	0.0078125	0.0259099321406539	0.301525297619048	0.622503840245776	0.857570206836348	""	FALSE
"beta-Alanine Metabolism_HUBMet_Pathway"	7	"HUBMet_Pathway"	19	2	"HUBMet001691;HUBMet001695"	0.1214797317768	0.015625	0.0117211597779149	1.33305921052632	2.75212224108659	0.3492542288583	""	TRUE
"Lysine Metabolism_HUBMet_Pathway"	7	"HUBMet_Pathway"	37	2	"HUBMet001695;HUBMet001705"	0.331702223166279	0.015625	0.0228254164096237	0.684543918918919	1.41325196163906	0.492203298891898	""	FALSE
"Propanoate Metabolism_HUBMet_Pathway"	7	"HUBMet_Pathway"	24	1	"HUBMet001695"	0.541895613782229	0.0078125	0.0148056755089451	0.527669270833333	1.08938172043011	0.692422173166181	""	FALSE
"Nitrogen Metabolism_HUBMet_Pathway"	8	"HUBMet_Pathway"	5	1	"HUBMet001695"	0.149767066159272	0.0078125	0.00308451573103023	2.5328125	5.22903225806452	0.405252061372148	""	TRUE
"Purine Metabolism-Guanine Containing_HUBMet_Pathway"	9	"HUBMet_Pathway"	6	1	"HUBMet001644"	0.176933769986434	0.0078125	0.00370141887723627	2.11067708333333	4.35752688172043	0.413834155453832	""	TRUE
"Glutathione Metabolism_HUBMet_Pathway"	10	"HUBMet_Pathway"	25	2	"HUBMet000003;HUBMet001695"	0.188924288359358	0.015625	0.0154225786551511	1.013125	2.09161290322581	0.413834155453832	""	TRUE
"Amino Sugar Metabolism_HUBMet_Pathway"	11	"HUBMet_Pathway"	26	2	"HUBMet001695;HUBMet001696"	0.200639081366316	0.015625	0.0160394818013572	0.974158653846154	2.01116625310174	0.419518079220479	""	TRUE
"Warburg effect_HUBMet_Pathway"	11	"HUBMet_Pathway"	40	2	"HUBMet001695;HUBMet001696"	0.366852502857542	0.015625	0.0246761258482418	0.633203125	1.30725806451613	0.500972533377459	""	FALSE
"Phenylacetate Metabolism_HUBMet_Pathway"	12	"HUBMet_Pathway"	8	1	"HUBMet001696"	0.228709888669145	0.0078125	0.00493522516964837	1.5830078125	3.26814516129032	0.434638081768457	""	TRUE
