Term	TermClass	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Cholesteryl esters (CE)	Class	27	5	HUBMet001377;HUBMet001381;HUBMet003328;HUBMet001043;HUBMet003323	-0.7356717150574639	0.048484848484848485	-1.488293764240011	0.35304966407587934
Phosphatidylglycerol (PG)	Class	28	6	HUBMet002788;HUBMet002787;HUBMet002167;HUBMet002174;HUBMet002786;HUBMet002783	-0.6296089082361833	0.11949685534591195	-1.3539022428286953	0.4716111184297194
Monosaccharide	Class	13	1	HUBMet002718	-0.9790628115652965	0.0398406374501992	-1.2956302794875965	0.5371272998726563
Fatty Acid-Long Chain	Class	36	3	HUBMet001522;HUBMet002614;HUBMet002724	-0.6541212511495974	0.34150943396226413	-1.132346912310453	0.8360778114433759
Fatty Acid-Dicarboxylate	Class	29	1	HUBMet000615	-0.6370887337985998	0.7470119521912351	-0.843083247039282	0.8779627696766413
Triacylglycerol (TAG)	Class	147	19	HUBMet002543;HUBMet002547;HUBMet002520;HUBMet002554;HUBMet002461;HUBMet002491;HUBMet002485;HUBMet002470;HUBMet002494;HUBMet002544;HUBMet002521;HUBMet002539;HUBMet002526;HUBMet002514;HUBMet002457;HUBMet002492;HUBMet002513;HUBMet002548;HUBMet002538	-0.2802750427903429	0.6389452332657201	-0.871025003663613	0.900452289992535
Phosphatidylinositol (PI)	Class	62	9	HUBMet002224;HUBMet001150;HUBMet002227;HUBMet002216;HUBMet001152;HUBMet002226;HUBMet002231;HUBMet002221;HUBMet001153	-0.3160963392810936	0.7453798767967146	-0.782180440747705	0.9084442102489791
Sphingomyelin (SM)	Class	224	3	HUBMet002794;HUBMet000276;HUBMet002399	0.3975248044233311	0.8638297872340426	0.667753384440999	0.927790525037117
Organic Acid and Its Derivatives	Class	18	5	HUBMet001359;HUBMet002181;HUBMet001666;HUBMet001776;HUBMet001095	-0.3283283283283274	0.8727272727272727	-0.664221545660795	0.9318930312211829
Acylcarnitine	Class	34	1	HUBMet000079	-0.5383848454636057	0.9282868525896414	-0.7124647158078442	0.9345101655469196
Lysophosphatidic Acid (LPA)	Class	10	1	HUBMet000415	-0.7397806580259169	0.5278884462151394	-0.978979294684111	0.9349082978380832
