Term	TermClass	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Cholesteryl esters (CE)	Class	HUBMet001041;HUBMet001042;HUBMet001043;HUBMet001044;HUBMet001045;HUBMet001046;HUBMet001047;HUBMet001048;HUBMet001377;HUBMet001378;HUBMet001379;HUBMet001380;HUBMet001381;HUBMet001382;HUBMet001383;HUBMet001384;HUBMet001385;HUBMet003320;HUBMet003321;HUBMet003322;HUBMet003323;HUBMet003324;HUBMet003325;HUBMet003326;HUBMet003327;HUBMet003328;HUBMet003329	27	5	HUBMet001377;HUBMet001381;HUBMet003328;HUBMet001043;HUBMet003323	-0.7356717150574639	0.048484848484848485	-1.488293764240011	0.35304966407587934	0.35304966407587934
Phosphatidylglycerol (PG)	Class	HUBMet002155;HUBMet002156;HUBMet002157;HUBMet002158;HUBMet002159;HUBMet002160;HUBMet002161;HUBMet002162;HUBMet002163;HUBMet002164;HUBMet002165;HUBMet002166;HUBMet002167;HUBMet002168;HUBMet002169;HUBMet002170;HUBMet002171;HUBMet002172;HUBMet002173;HUBMet002174;HUBMet002783;HUBMet002784;HUBMet002785;HUBMet002786;HUBMet002787;HUBMet002788;HUBMet002789;HUBMet003067	28	6	HUBMet002788;HUBMet002787;HUBMet002167;HUBMet002174;HUBMet002786;HUBMet002783	-0.6296089082361833	0.11949685534591195	-1.3539022428286953	0.4716111184297194	0.4716111184297194
Monosaccharide	Class	HUBMet001605;HUBMet002154;HUBMet002718;HUBMet002720;HUBMet002904;HUBMet002905;HUBMet002913;HUBMet002915;HUBMet002918;HUBMet002922;HUBMet002925;HUBMet002928;HUBMet002932	13	1	HUBMet002718	-0.9790628115652965	0.0398406374501992	-1.2956302794875965	0.5371272998726563	0.5371272998726563
Fatty Acid-Long Chain	Class	HUBMet000718;HUBMet001066;HUBMet001101;HUBMet001309;HUBMet001350;HUBMet001431;HUBMet001492;HUBMet001522;HUBMet001524;HUBMet001648;HUBMet001723;HUBMet001826;HUBMet001873;HUBMet002568;HUBMet002614;HUBMet002615;HUBMet002616;HUBMet002626;HUBMet002724;HUBMet002750;HUBMet002977;HUBMet002978;HUBMet003072;HUBMet003143;HUBMet003144;HUBMet003145;HUBMet003146;HUBMet003206;HUBMet003209;HUBMet003233;HUBMet003253;HUBMet003256;HUBMet003365;HUBMet003367;HUBMet003440;HUBMet003441	36	3	HUBMet001522;HUBMet002614;HUBMet002724	-0.6541212511495974	0.34150943396226413	-1.132346912310453	0.8360778114433759	0.8360778114433759
Fatty Acid-Dicarboxylate	Class	HUBMet000106;HUBMet000205;HUBMet000227;HUBMet000312;HUBMet000334;HUBMet000338;HUBMet000350;HUBMet000358;HUBMet000462;HUBMet000502;HUBMet000562;HUBMet000615;HUBMet000679;HUBMet000704;HUBMet000716;HUBMet000717;HUBMet000730;HUBMet000773;HUBMet000802;HUBMet000818;HUBMet000829;HUBMet000863;HUBMet000864;HUBMet000866;HUBMet001010;HUBMet001280;HUBMet001498;HUBMet002610;HUBMet003211	29	1	HUBMet000615	-0.6370887337985998	0.7470119521912351	-0.843083247039282	0.8779627696766413	0.8779627696766413
Triacylglycerol (TAG)	Class	HUBMet002443;HUBMet002444;HUBMet002445;HUBMet002446;HUBMet002447;HUBMet002448;HUBMet002449;HUBMet002450;HUBMet002451;HUBMet002452;HUBMet002453;HUBMet002454;HUBMet002455;HUBMet002456;HUBMet002457;HUBMet002458;HUBMet002459;HUBMet002460;HUBMet002461;HUBMet002462;HUBMet002463;HUBMet002464;HUBMet002465;HUBMet002466;HUBMet002467;HUBMet002468;HUBMet002469;HUBMet002470;HUBMet002471;HUBMet002472;HUBMet002473;HUBMet002474;HUBMet002475;HUBMet002476;HUBMet002477;HUBMet002478;HUBMet002479;HUBMet002480;HUBMet002481;HUBMet002482;HUBMet002483;HUBMet002484;HUBMet002485;HUBMet002486;HUBMet002487;HUBMet002488;HUBMet002489;HUBMet002490;HUBMet002491;HUBMet002492;HUBMet002493;HUBMet002494;HUBMet002495;HUBMet002496;HUBMet002497;HUBMet002498;HUBMet002499;HUBMet002500;HUBMet002511;HUBMet002512;HUBMet002513;HUBMet002514;HUBMet002515;HUBMet002516;HUBMet002517;HUBMet002518;HUBMet002519;HUBMet002520;HUBMet002521;HUBMet002522;HUBMet002523;HUBMet002524;HUBMet002525;HUBMet002526;HUBMet002527;HUBMet002528;HUBMet002529;HUBMet002530;HUBMet002531;HUBMet002532;HUBMet002533;HUBMet002534;HUBMet002535;HUBMet002536;HUBMet002537;HUBMet002538;HUBMet002539;HUBMet002540;HUBMet002541;HUBMet002542;HUBMet002543;HUBMet002544;HUBMet002545;HUBMet002546;HUBMet002547;HUBMet002548;HUBMet002549;HUBMet002550;HUBMet002551;HUBMet002552;HUBMet002553;HUBMet002554;HUBMet002555;HUBMet002556;HUBMet002557;HUBMet002802;HUBMet002803;HUBMet002804;HUBMet002805;HUBMet002806;HUBMet002807;HUBMet002808;HUBMet002809;HUBMet002810;HUBMet002811;HUBMet002812;HUBMet002813;HUBMet002814;HUBMet002815;HUBMet002958;HUBMet002959;HUBMet002960;HUBMet002961;HUBMet002962;HUBMet002963;HUBMet002964;HUBMet002965;HUBMet002966;HUBMet002967;HUBMet002968;HUBMet002969;HUBMet002970;HUBMet002971;HUBMet002972;HUBMet002973;HUBMet002974;HUBMet002975;HUBMet002983;HUBMet002984;HUBMet002985;HUBMet002986;HUBMet002987;HUBMet002988;HUBMet002989;HUBMet002990;HUBMet002991;HUBMet002992	147	19	HUBMet002543;HUBMet002547;HUBMet002520;HUBMet002554;HUBMet002461;HUBMet002491;HUBMet002485;HUBMet002470;HUBMet002494;HUBMet002544;HUBMet002521;HUBMet002539;HUBMet002526;HUBMet002514;HUBMet002457;HUBMet002492;HUBMet002513;HUBMet002548;HUBMet002538	-0.2802750427903429	0.6389452332657201	-0.871025003663613	0.900452289992535	0.900452289992535
Phosphatidylinositol (PI)	Class	HUBMet000182;HUBMet000184;HUBMet000191;HUBMet000193;HUBMet000295;HUBMet000474;HUBMet000982;HUBMet001150;HUBMet001151;HUBMet001152;HUBMet001153;HUBMet002187;HUBMet002188;HUBMet002189;HUBMet002190;HUBMet002191;HUBMet002192;HUBMet002193;HUBMet002194;HUBMet002195;HUBMet002196;HUBMet002197;HUBMet002198;HUBMet002199;HUBMet002200;HUBMet002201;HUBMet002202;HUBMet002203;HUBMet002204;HUBMet002205;HUBMet002206;HUBMet002207;HUBMet002208;HUBMet002209;HUBMet002210;HUBMet002211;HUBMet002212;HUBMet002213;HUBMet002214;HUBMet002215;HUBMet002216;HUBMet002217;HUBMet002218;HUBMet002219;HUBMet002220;HUBMet002221;HUBMet002222;HUBMet002223;HUBMet002224;HUBMet002225;HUBMet002226;HUBMet002227;HUBMet002228;HUBMet002229;HUBMet002230;HUBMet002231;HUBMet002790;HUBMet003061;HUBMet003062;HUBMet003063;HUBMet003064;HUBMet003065	62	9	HUBMet002224;HUBMet001150;HUBMet002227;HUBMet002216;HUBMet001152;HUBMet002226;HUBMet002231;HUBMet002221;HUBMet001153	-0.3160963392810936	0.7453798767967146	-0.782180440747705	0.9084442102489791	0.9084442102489791
Sphingomyelin (SM)	Class	HUBMet000221;HUBMet000261;HUBMet000269;HUBMet000270;HUBMet000271;HUBMet000272;HUBMet000273;HUBMet000274;HUBMet000275;HUBMet000276;HUBMet000355;HUBMet000465;HUBMet000489;HUBMet000519;HUBMet000535;HUBMet000536;HUBMet000537;HUBMet000538;HUBMet000539;HUBMet000540;HUBMet000541;HUBMet000542;HUBMet000543;HUBMet000544;HUBMet000545;HUBMet000768;HUBMet000886;HUBMet000887;HUBMet000953;HUBMet000954;HUBMet000955;HUBMet000956;HUBMet000957;HUBMet000958;HUBMet000959;HUBMet000960;HUBMet002294;HUBMet002295;HUBMet002296;HUBMet002297;HUBMet002298;HUBMet002299;HUBMet002300;HUBMet002301;HUBMet002302;HUBMet002303;HUBMet002304;HUBMet002305;HUBMet002306;HUBMet002307;HUBMet002308;HUBMet002309;HUBMet002310;HUBMet002311;HUBMet002312;HUBMet002313;HUBMet002314;HUBMet002315;HUBMet002316;HUBMet002317;HUBMet002318;HUBMet002319;HUBMet002320;HUBMet002321;HUBMet002322;HUBMet002323;HUBMet002324;HUBMet002325;HUBMet002326;HUBMet002327;HUBMet002328;HUBMet002329;HUBMet002330;HUBMet002331;HUBMet002332;HUBMet002333;HUBMet002334;HUBMet002335;HUBMet002336;HUBMet002337;HUBMet002338;HUBMet002339;HUBMet002340;HUBMet002341;HUBMet002342;HUBMet002343;HUBMet002344;HUBMet002345;HUBMet002346;HUBMet002347;HUBMet002348;HUBMet002349;HUBMet002350;HUBMet002351;HUBMet002352;HUBMet002353;HUBMet002354;HUBMet002355;HUBMet002356;HUBMet002357;HUBMet002358;HUBMet002359;HUBMet002360;HUBMet002361;HUBMet002362;HUBMet002363;HUBMet002364;HUBMet002365;HUBMet002366;HUBMet002367;HUBMet002368;HUBMet002369;HUBMet002370;HUBMet002371;HUBMet002372;HUBMet002373;HUBMet002374;HUBMet002375;HUBMet002376;HUBMet002377;HUBMet002378;HUBMet002379;HUBMet002380;HUBMet002381;HUBMet002382;HUBMet002383;HUBMet002384;HUBMet002385;HUBMet002386;HUBMet002387;HUBMet002388;HUBMet002389;HUBMet002390;HUBMet002391;HUBMet002392;HUBMet002393;HUBMet002394;HUBMet002395;HUBMet002396;HUBMet002397;HUBMet002398;HUBMet002399;HUBMet002400;HUBMet002401;HUBMet002402;HUBMet002403;HUBMet002404;HUBMet002405;HUBMet002406;HUBMet002407;HUBMet002408;HUBMet002409;HUBMet002410;HUBMet002411;HUBMet002412;HUBMet002413;HUBMet002414;HUBMet002415;HUBMet002416;HUBMet002417;HUBMet002418;HUBMet002419;HUBMet002420;HUBMet002421;HUBMet002422;HUBMet002423;HUBMet002424;HUBMet002425;HUBMet002426;HUBMet002427;HUBMet002428;HUBMet002429;HUBMet002430;HUBMet002431;HUBMet002432;HUBMet002433;HUBMet002436;HUBMet002705;HUBMet002706;HUBMet002707;HUBMet002794;HUBMet002795;HUBMet002796;HUBMet002797;HUBMet002798;HUBMet002799;HUBMet002800;HUBMet002801;HUBMet002999;HUBMet003000;HUBMet003001;HUBMet003002;HUBMet003003;HUBMet003004;HUBMet003005;HUBMet003006;HUBMet003007;HUBMet003008;HUBMet003009;HUBMet003010;HUBMet003011;HUBMet003012;HUBMet003013;HUBMet003014;HUBMet003015;HUBMet003016;HUBMet003017;HUBMet003018;HUBMet003019;HUBMet003020;HUBMet003021;HUBMet003022;HUBMet003023;HUBMet003024;HUBMet003025;HUBMet003026;HUBMet003027;HUBMet003028;HUBMet003029;HUBMet003030;HUBMet003031;HUBMet003032;HUBMet003033;HUBMet003149	224	3	HUBMet002794;HUBMet000276;HUBMet002399	0.3975248044233311	0.8638297872340426	0.667753384440999	0.927790525037117	0.927790525037117
Organic Acid and Its Derivatives	Class	HUBMet001095;HUBMet001190;HUBMet001241;HUBMet001255;HUBMet001256;HUBMet001288;HUBMet001359;HUBMet001370;HUBMet001441;HUBMet001446;HUBMet001499;HUBMet001664;HUBMet001666;HUBMet001688;HUBMet001776;HUBMet002181;HUBMet002503;HUBMet002563	18	5	HUBMet001359;HUBMet002181;HUBMet001666;HUBMet001776;HUBMet001095	-0.3283283283283274	0.8727272727272727	-0.664221545660795	0.9318930312211829	0.9318930312211829
Acylcarnitine	Class	HUBMet000079;HUBMet000599;HUBMet000770;HUBMet000771;HUBMet000775;HUBMet000865;HUBMet000879;HUBMet000888;HUBMet000889;HUBMet001154;HUBMet001323;HUBMet001324;HUBMet001325;HUBMet001326;HUBMet001327;HUBMet001328;HUBMet001329;HUBMet001330;HUBMet001331;HUBMet001332;HUBMet001653;HUBMet001672;HUBMet001675;HUBMet001769;HUBMet001840;HUBMet002232;HUBMet002509;HUBMet002728;HUBMet002734;HUBMet002749;HUBMet002751;HUBMet002758;HUBMet002767;HUBMet003373	34	1	HUBMet000079	-0.5383848454636057	0.9282868525896414	-0.7124647158078442	0.9345101655469196	0.9345101655469196
