Term	TermClass	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Attachment loss	Disease	58	53	HUBMet000096;HUBMet000016;HUBMet001707;HUBMet000352;HUBMet001710;HUBMet001545;HUBMet001359;HUBMet001127;HUBMet000376;HUBMet001708;HUBMet000387;HUBMet001666;HUBMet000065;HUBMet001296;HUBMet000123;HUBMet000896;HUBMet000894;HUBMet001815;HUBMet000033;HUBMet001698;HUBMet001709;HUBMet000063;HUBMet001700;HUBMet001691;HUBMet001279;HUBMet000022;HUBMet000070;HUBMet000497;HUBMet000315;HUBMet001689;HUBMet001684;HUBMet001336;HUBMet001702;HUBMet000008;HUBMet001268;HUBMet001171;HUBMet001260;HUBMet001629;HUBMet001692;HUBMet001001;HUBMet000079;HUBMet002569;HUBMet000407;HUBMet000138;HUBMet000098;HUBMet001699;HUBMet001765;HUBMet000277;HUBMet001830;HUBMet000032;HUBMet000280;HUBMet001704;HUBMet000306	0.4793882897168629	0.0	1.849686332073031	0.05980866296382337
Cancer	Disease	198	40	HUBMet000032;HUBMet001701;HUBMet002461;HUBMet002521;HUBMet002538;HUBMet000281;HUBMet001700;HUBMet001707;HUBMet002544;HUBMet002554;HUBMet002514;HUBMet002548;HUBMet002494;HUBMet000277;HUBMet002526;HUBMet002539;HUBMet000015;HUBMet001708;HUBMet001698;HUBMet001268;HUBMet001171;HUBMet002513;HUBMet002470;HUBMet001699;HUBMet000554;HUBMet001689;HUBMet001709;HUBMet001637;HUBMet002485;HUBMet002547;HUBMet002543;HUBMet001692;HUBMet001254;HUBMet001702;HUBMet001710;HUBMet000016;HUBMet002457;HUBMet002491;HUBMet002520;HUBMet002492	-0.13195924795565198	1.0	-0.5052563693537719	0.9860661536152973
Kidney disease	Disease	44	6	HUBMet003529;HUBMet000096;HUBMet000281;HUBMet000022;HUBMet001095;HUBMet000644	0.21943887775551052	0.9847036328871893	0.4719968039390473	0.9896306308208908
Fatigue	Disease	15	5	HUBMet003790;HUBMet003840;HUBMet000705;HUBMet001161;HUBMet001850	-0.2720026189841415	0.9656565656565657	-0.5502723475775179	0.9957074225718784
Muscle cramp 	Disease	11	5	HUBMet003790;HUBMet003840;HUBMet001161;HUBMet000705;HUBMet001850	-0.2720026189841415	0.9656565656565657	-0.5502723475775179	0.9957074225718784
Muscle weakness	Disease	11	5	HUBMet001161;HUBMet001850;HUBMet003840;HUBMet000705;HUBMet003790	-0.2720026189841415	0.9656565656565657	-0.5502723475775179	0.9957074225718784
Tremor	Disease	14	5	HUBMet003790;HUBMet001161;HUBMet001850;HUBMet003840;HUBMet000705	-0.2720026189841415	0.9656565656565657	-0.5502723475775179	0.9957074225718784
Anxiety	Disease	10	5	HUBMet003790;HUBMet003840;HUBMet001161;HUBMet000705;HUBMet001850	-0.2720026189841415	0.9656565656565657	-0.5502723475775179	0.9957074225718784
Chronic kidney disease	Disease	30	4	HUBMet000281;HUBMet000644;HUBMet000096;HUBMet001095	0.2633357031208017	0.9872611464968153	0.48733766838986864	1.0
Agitation	Disease	38	7	HUBMet001708;HUBMet000096;HUBMet000032;HUBMet000281;HUBMet001662;HUBMet001095;HUBMet000644	0.21965897693079178	0.980806142034549	0.5007168722371517	1.0
