Term	TermClass	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Attachment loss	Disease	HUBMet000008;HUBMet000016;HUBMet000022;HUBMet000032;HUBMet000033;HUBMet000063;HUBMet000065;HUBMet000070;HUBMet000079;HUBMet000096;HUBMet000098;HUBMet000123;HUBMet000138;HUBMet000277;HUBMet000280;HUBMet000306;HUBMet000315;HUBMet000352;HUBMet000376;HUBMet000387;HUBMet000407;HUBMet000497;HUBMet000894;HUBMet000896;HUBMet001001;HUBMet001127;HUBMet001171;HUBMet001260;HUBMet001268;HUBMet001279;HUBMet001296;HUBMet001336;HUBMet001359;HUBMet001545;HUBMet001629;HUBMet001666;HUBMet001684;HUBMet001689;HUBMet001691;HUBMet001692;HUBMet001698;HUBMet001699;HUBMet001700;HUBMet001702;HUBMet001704;HUBMet001707;HUBMet001708;HUBMet001709;HUBMet001710;HUBMet001765;HUBMet001815;HUBMet001830;HUBMet002569;HUBMet002590;HUBMet002664;HUBMet002669;HUBMet002833;HUBMet003510	58	53	HUBMet000096;HUBMet000016;HUBMet001707;HUBMet000352;HUBMet001710;HUBMet001545;HUBMet001359;HUBMet001127;HUBMet000376;HUBMet001708;HUBMet000387;HUBMet001666;HUBMet000065;HUBMet001296;HUBMet000123;HUBMet000896;HUBMet000894;HUBMet001815;HUBMet000033;HUBMet001698;HUBMet001709;HUBMet000063;HUBMet001700;HUBMet001691;HUBMet001279;HUBMet000022;HUBMet000070;HUBMet000497;HUBMet000315;HUBMet001689;HUBMet001684;HUBMet001336;HUBMet001702;HUBMet000008;HUBMet001268;HUBMet001171;HUBMet001260;HUBMet001629;HUBMet001692;HUBMet001001;HUBMet000079;HUBMet002569;HUBMet000407;HUBMet000138;HUBMet000098;HUBMet001699;HUBMet001765;HUBMet000277;HUBMet001830;HUBMet000032;HUBMet000280;HUBMet001704;HUBMet000306	0.4793882897168629	0.0	1.849686332073031	0.05980866296382337	0.05980866296382337
Cancer	Disease	HUBMet000001;HUBMet000003;HUBMet000004;HUBMet000012;HUBMet000014;HUBMet000015;HUBMet000016;HUBMet000018;HUBMet000032;HUBMet000040;HUBMet000081;HUBMet000084;HUBMet000157;HUBMet000175;HUBMet000265;HUBMet000277;HUBMet000279;HUBMet000281;HUBMet000290;HUBMet000328;HUBMet000372;HUBMet000408;HUBMet000455;HUBMet000554;HUBMet000792;HUBMet000844;HUBMet000858;HUBMet000885;HUBMet001104;HUBMet001171;HUBMet001201;HUBMet001225;HUBMet001240;HUBMet001254;HUBMet001268;HUBMet001321;HUBMet001349;HUBMet001435;HUBMet001445;HUBMet001501;HUBMet001605;HUBMet001637;HUBMet001689;HUBMet001692;HUBMet001695;HUBMet001696;HUBMet001697;HUBMet001698;HUBMet001699;HUBMet001700;HUBMet001701;HUBMet001702;HUBMet001706;HUBMet001707;HUBMet001708;HUBMet001709;HUBMet001710;HUBMet001724;HUBMet001812;HUBMet002443;HUBMet002444;HUBMet002445;HUBMet002446;HUBMet002447;HUBMet002448;HUBMet002449;HUBMet002451;HUBMet002452;HUBMet002453;HUBMet002454;HUBMet002455;HUBMet002456;HUBMet002457;HUBMet002458;HUBMet002459;HUBMet002460;HUBMet002461;HUBMet002462;HUBMet002463;HUBMet002464;HUBMet002465;HUBMet002466;HUBMet002467;HUBMet002468;HUBMet002469;HUBMet002470;HUBMet002471;HUBMet002472;HUBMet002473;HUBMet002474;HUBMet002475;HUBMet002476;HUBMet002477;HUBMet002478;HUBMet002479;HUBMet002480;HUBMet002481;HUBMet002482;HUBMet002483;HUBMet002484;HUBMet002485;HUBMet002486;HUBMet002487;HUBMet002488;HUBMet002489;HUBMet002490;HUBMet002491;HUBMet002492;HUBMet002493;HUBMet002494;HUBMet002495;HUBMet002496;HUBMet002497;HUBMet002498;HUBMet002499;HUBMet002500;HUBMet002511;HUBMet002512;HUBMet002513;HUBMet002514;HUBMet002515;HUBMet002516;HUBMet002517;HUBMet002518;HUBMet002519;HUBMet002520;HUBMet002521;HUBMet002522;HUBMet002523;HUBMet002524;HUBMet002525;HUBMet002526;HUBMet002527;HUBMet002528;HUBMet002529;HUBMet002530;HUBMet002531;HUBMet002533;HUBMet002534;HUBMet002535;HUBMet002536;HUBMet002537;HUBMet002538;HUBMet002539;HUBMet002540;HUBMet002541;HUBMet002542;HUBMet002543;HUBMet002544;HUBMet002545;HUBMet002546;HUBMet002547;HUBMet002548;HUBMet002549;HUBMet002550;HUBMet002551;HUBMet002552;HUBMet002553;HUBMet002554;HUBMet002578;HUBMet002624;HUBMet002725;HUBMet002802;HUBMet002804;HUBMet002805;HUBMet002806;HUBMet002807;HUBMet002808;HUBMet002809;HUBMet002810;HUBMet002811;HUBMet002812;HUBMet002813;HUBMet002814;HUBMet002815;HUBMet002862;HUBMet002958;HUBMet002976;HUBMet002983;HUBMet002984;HUBMet002985;HUBMet002986;HUBMet002987;HUBMet002988;HUBMet002989;HUBMet002990;HUBMet002991;HUBMet002992;HUBMet003348;HUBMet003351;HUBMet003499;HUBMet003610;HUBMet003772;HUBMet003781;HUBMet003832;HUBMet003847;HUBMet003859;HUBMet003890	198	40	HUBMet000032;HUBMet001701;HUBMet002461;HUBMet002521;HUBMet002538;HUBMet000281;HUBMet001700;HUBMet001707;HUBMet002544;HUBMet002554;HUBMet002514;HUBMet002548;HUBMet002494;HUBMet000277;HUBMet002526;HUBMet002539;HUBMet000015;HUBMet001708;HUBMet001698;HUBMet001268;HUBMet001171;HUBMet002513;HUBMet002470;HUBMet001699;HUBMet000554;HUBMet001689;HUBMet001709;HUBMet001637;HUBMet002485;HUBMet002547;HUBMet002543;HUBMet001692;HUBMet001254;HUBMet001702;HUBMet001710;HUBMet000016;HUBMet002457;HUBMet002491;HUBMet002520;HUBMet002492	-0.13195924795565198	1.0	-0.5052563693537719	0.9860661536152973	0.9860661536152973
Kidney disease	Disease	HUBMet000022;HUBMet000043;HUBMet000052;HUBMet000062;HUBMet000089;HUBMet000096;HUBMet000099;HUBMet000102;HUBMet000144;HUBMet000145;HUBMet000205;HUBMet000236;HUBMet000281;HUBMet000408;HUBMet000425;HUBMet000434;HUBMet000578;HUBMet000591;HUBMet000644;HUBMet000852;HUBMet000885;HUBMet000893;HUBMet000962;HUBMet001082;HUBMet001095;HUBMet001170;HUBMet001201;HUBMet001202;HUBMet001294;HUBMet001445;HUBMet001495;HUBMet001681;HUBMet001693;HUBMet001813;HUBMet001817;HUBMet002717;HUBMet003351;HUBMet003485;HUBMet003517;HUBMet003529;HUBMet003589;HUBMet003781;HUBMet003799;HUBMet003832	44	6	HUBMet003529;HUBMet000096;HUBMet000281;HUBMet000022;HUBMet001095;HUBMet000644	0.21943887775551052	0.9847036328871893	0.4719968039390473	0.9896306308208908	0.9896306308208908
Fatigue	Disease	HUBMet000050;HUBMet000705;HUBMet000872;HUBMet001161;HUBMet001290;HUBMet001298;HUBMet001850;HUBMet002286;HUBMet002833;HUBMet003619;HUBMet003651;HUBMet003770;HUBMet003790;HUBMet003840;HUBMet003843	15	5	HUBMet003790;HUBMet003840;HUBMet000705;HUBMet001161;HUBMet001850	-0.2720026189841415	0.9656565656565657	-0.5502723475775179	0.9957074225718784	0.9957074225718784
Muscle cramp 	Disease	HUBMet000705;HUBMet000872;HUBMet001161;HUBMet001850;HUBMet002582;HUBMet002833;HUBMet003651;HUBMet003770;HUBMet003790;HUBMet003840;HUBMet003843	11	5	HUBMet003790;HUBMet003840;HUBMet001161;HUBMet000705;HUBMet001850	-0.2720026189841415	0.9656565656565657	-0.5502723475775179	0.9957074225718784	0.9957074225718784
Muscle weakness	Disease	HUBMet000705;HUBMet000872;HUBMet001161;HUBMet001850;HUBMet002276;HUBMet002833;HUBMet003651;HUBMet003770;HUBMet003790;HUBMet003840;HUBMet003843	11	5	HUBMet001161;HUBMet001850;HUBMet003840;HUBMet000705;HUBMet003790	-0.2720026189841415	0.9656565656565657	-0.5502723475775179	0.9957074225718784	0.9957074225718784
Tremor	Disease	HUBMet000705;HUBMet000872;HUBMet000921;HUBMet001161;HUBMet001162;HUBMet001850;HUBMet002833;HUBMet003611;HUBMet003651;HUBMet003728;HUBMet003770;HUBMet003790;HUBMet003840;HUBMet003843	14	5	HUBMet003790;HUBMet001161;HUBMet001850;HUBMet003840;HUBMet000705	-0.2720026189841415	0.9656565656565657	-0.5502723475775179	0.9957074225718784	0.9957074225718784
Anxiety	Disease	HUBMet000705;HUBMet000872;HUBMet001161;HUBMet001850;HUBMet002833;HUBMet003651;HUBMet003770;HUBMet003790;HUBMet003840;HUBMet003843	10	5	HUBMet003790;HUBMet003840;HUBMet001161;HUBMet000705;HUBMet001850	-0.2720026189841415	0.9656565656565657	-0.5502723475775179	0.9957074225718784	0.9957074225718784
Chronic kidney disease	Disease	HUBMet000062;HUBMet000089;HUBMet000096;HUBMet000099;HUBMet000144;HUBMet000205;HUBMet000236;HUBMet000281;HUBMet000425;HUBMet000434;HUBMet000578;HUBMet000591;HUBMet000644;HUBMet000852;HUBMet000885;HUBMet000893;HUBMet000962;HUBMet001095;HUBMet001170;HUBMet001294;HUBMet001445;HUBMet001495;HUBMet001681;HUBMet001693;HUBMet001813;HUBMet001817;HUBMet003485;HUBMet003517;HUBMet003589;HUBMet003799	30	4	HUBMet000281;HUBMet000644;HUBMet000096;HUBMet001095	0.2633357031208017	0.9872611464968153	0.48733766838986864	1.0078827336096163	1.0
Agitation	Disease	HUBMet000032;HUBMet000050;HUBMet000062;HUBMet000089;HUBMet000096;HUBMet000099;HUBMet000144;HUBMet000205;HUBMet000236;HUBMet000281;HUBMet000425;HUBMet000434;HUBMet000578;HUBMet000591;HUBMet000644;HUBMet000852;HUBMet000872;HUBMet000885;HUBMet000893;HUBMet000962;HUBMet000965;HUBMet001095;HUBMet001170;HUBMet001178;HUBMet001294;HUBMet001495;HUBMet001662;HUBMet001681;HUBMet001693;HUBMet001708;HUBMet001720;HUBMet001813;HUBMet001817;HUBMet001843;HUBMet003485;HUBMet003517;HUBMet003589;HUBMet003799	38	7	HUBMet001708;HUBMet000096;HUBMet000032;HUBMet000281;HUBMet001662;HUBMet001095;HUBMet000644	0.21965897693079178	0.980806142034549	0.5007168722371517	1.0263334046478059	1.0
