Term	TermClass	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Antihistamine Action	Drug	21	1	HUBMet001164	0.7387836490528426	0.4919678714859438	0.9978529631272103	0.8014695635649586
Drug-Gastrointestinal	Drug	15	1	HUBMet001164	0.7387836490528426	0.4919678714859438	0.9978529631272103	0.8014695635649586
Analgesic and Antipyretic-Acetaminophen Metabolism	Drug	11	2	HUBMet000592;HUBMet000427	-0.708582834331349	0.43243243243243246	-1.0709677880614275	0.9020370858402068
Antidepressants Metabolism	Drug	16	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.9581940418182939
Local Anesthetics Action	Drug	12	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.9581940418182939
Bisphosphonates Action	Drug	19	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.9581940418182939
Antidepressants Action	Drug	18	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.9581940418182939
Drug	Drug	19	1	HUBMet003165	-0.6969092721834447	0.6374501992031872	-0.9222459932401533	0.9803491025720101
NSAIDs Action	Drug	29	3	HUBMet002614;HUBMet001629;HUBMet000592	-0.2982499443392889	0.9792452830188679	-0.516299390939863	0.9858755319805095
Antineoplastic-Chemotherapy Metabolism	Drug	24	4	HUBMet001336;HUBMet001333;HUBMet000592;HUBMet003724	0.22051831798262508	0.9978768577494692	0.4080984144926569	0.9998099702286691
Drug-Antibiotic	Drug	29	2	HUBMet000948;HUBMet001386	0.8552894211576836	0.14107883817427386	1.2999370707247688	1.0
Anticonvulsants Metabolism	Drug	20	2	HUBMet000592;HUBMet001336	-0.35885964487509564	0.971042471042471	-0.5423884145585591	1.0
Drug-Psychoactive	Drug	40	1	HUBMet003851	-0.6550348953140532	0.7211155378486056	-0.8668320708995433	1.0
Antiretroviral Metabolism	Drug	12	3	HUBMet003736;HUBMet000592;HUBMet001830	-0.5354645354645386	0.5886792452830188	-0.9269407045244483	1.0
Disulfiram Action	Drug	34	7	HUBMet001336;HUBMet000592;HUBMet001709;HUBMet000315;HUBMet001691;HUBMet001333;HUBMet002662	0.29025848773547713	0.8694817658349329	0.661649818049482	1.0
Statins Action	Drug	24	2	HUBMet001358;HUBMet000592	-0.6334780120851019	0.6081081081081081	-0.9574526964494326	1.0
Antineoplastic-Chemotherapy Action	Drug	56	11	HUBMet001001;HUBMet003724;HUBMet000736;HUBMet000022;HUBMet001691;HUBMet000032;HUBMet000376;HUBMet001333;HUBMet001336;HUBMet000592;HUBMet000387	-0.21651560926485414	0.974304068522484	-0.5681236195786002	1.0
Immunosuppressant Action	Drug	45	11	HUBMet001336;HUBMet001691;HUBMet001001;HUBMet000736;HUBMet003724;HUBMet000592;HUBMet000387;HUBMet000032;HUBMet001333;HUBMet000376;HUBMet000022	-0.21651560926485414	0.974304068522484	-0.5681236195786002	1.0
Nicotine Metabolism	Drug	13	2	HUBMet000592;HUBMet001828	-0.8163672654690765	0.1718146718146718	-1.23387556427359	1.0
Nicotine Action	Drug	19	2	HUBMet001828;HUBMet000592	-0.8163672654690765	0.1718146718146718	-1.23387556427359	1.0
Drug-Antineoplastic	Drug	12	2	HUBMet003609;HUBMet003724	0.4799045212099002	0.8174273858921162	0.7293971632254719	1.0
Drug-Cardiovascular	Drug	43	5	HUBMet001358;HUBMet001064;HUBMet001230;HUBMet000699;HUBMet003709	-0.3797476533736418	0.7414141414141414	-0.7682449289988292	1.0
Drug-Metabolic	Drug	26	1	HUBMet003638	-0.7238285144566249	0.5717131474103586	-0.9578692290305454	1.0
Analgesic and Antipyretic-Acetaminophen Action	Drug	18	4	HUBMet000592;HUBMet000427;HUBMet001629;HUBMet002614	-0.3085914224614498	0.9357277882797732	-0.5940245916597572	1.0
Immunosuppressant Metabolism	Drug	10	2	HUBMet003724;HUBMet000592	-0.43002847008648704	0.8918918918918919	-0.6499545530856071	1.0
Drug-Neurological	Drug	40	2	HUBMet003790;HUBMet001161	-0.4584200687170132	0.8706563706563707	-0.6928662440152291	1.0
Antibiotics Action	Drug	24	8	HUBMet001701;HUBMet001710;HUBMet002575;HUBMet001698;HUBMet001699;HUBMet001336;HUBMet001704;HUBMet001707	0.4272717044576756	0.4217557251908397	1.0299507348992616	1.0
Drug-Respiratory	Drug	12	2	HUBMet003807;HUBMet001784	0.7435171952259131	0.3215767634854772	1.1300567280339109	1.0
Analgesics-Opioids Metabolism	Drug	14	4	HUBMet001179;HUBMet000592;HUBMet001773;HUBMet003699	-0.6031498945199408	0.30623818525519847	-1.1610363857297155	1.0
Cardiovascular-Antiarrhythmics Action	Drug	13	3	HUBMet000592;HUBMet003709;HUBMet001333	-0.6343656343656342	0.37735849056603776	-1.098148036143696	1.0
Drug-Analgesics, Anesthetics	Drug	41	6	HUBMet003685;HUBMet001179;HUBMet000427;HUBMet001773;HUBMet003657;HUBMet003699	-0.5851659984203964	0.20545073375262055	-1.2583328274498782	1.0
Analgesics-Opioids Action	Drug	17	6	HUBMet000592;HUBMet001179;HUBMet003657;HUBMet001773;HUBMet003699;HUBMet003685	-0.594465849626172	0.18448637316561844	-1.2783310981870983	1.0
