Term	TermClass	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Antihistamine Action	Drug	HUBMet001082;HUBMet001645;HUBMet003488;HUBMet000039;HUBMet000268;HUBMet001025;HUBMet002633;HUBMet003517;HUBMet003523;HUBMet001050;HUBMet003797;HUBMet003789;HUBMet000870;HUBMet002629;HUBMet001782;HUBMet003515;HUBMet003636;HUBMet000947;HUBMet001164;HUBMet003602;HUBMet003588	21	1	HUBMet001164	0.7387836490528426	0.4919678714859438	0.9978529631272103	0.8014695635649586	0.8014695635649586
Drug-Gastrointestinal	Drug	HUBMet000755;HUBMet000758;HUBMet001058;HUBMet001164;HUBMet002280;HUBMet002434;HUBMet003597;HUBMet003636;HUBMet003647;HUBMet003662;HUBMet003710;HUBMet003735;HUBMet003822;HUBMet003823;HUBMet003857	15	1	HUBMet001164	0.7387836490528426	0.4919678714859438	0.9978529631272103	0.8014695635649586	0.8014695635649586
Analgesic and Antipyretic-Acetaminophen Metabolism	Drug	HUBMet000039;HUBMet000371;HUBMet000427;HUBMet000568;HUBMet000592;HUBMet001025;HUBMet001630;HUBMet001818;HUBMet002574;HUBMet002633;HUBMet003501	11	2	HUBMet000592;HUBMet000427	-0.708582834331349	0.43243243243243246	-1.0709677880614275	0.9020370858402068	0.9020370858402068
Antidepressants Metabolism	Drug	HUBMet000592;HUBMet000871;HUBMet001433;HUBMet001467;HUBMet001818;HUBMet003799;HUBMet003804;HUBMet003820;HUBMet002937;HUBMet003818;HUBMet003750;HUBMet000872;HUBMet000915;HUBMet001124;HUBMet001130;HUBMet001185	16	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.9581940418182939	0.9581940418182939
Local Anesthetics Action	Drug	HUBMet000039;HUBMet000268;HUBMet001025;HUBMet002633;HUBMet003517;HUBMet003523;HUBMet003891;HUBMet000592;HUBMet001721;HUBMet001800;HUBMet001818;HUBMet002937	12	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.9581940418182939	0.9581940418182939
Bisphosphonates Action	Drug	HUBMet000018;HUBMet000039;HUBMet000094;HUBMet000592;HUBMet000871;HUBMet001025;HUBMet001379;HUBMet001713;HUBMet002277;HUBMet002633;HUBMet002669;HUBMet002937;HUBMet002945;HUBMet002947;HUBMet003055;HUBMet003273;HUBMet003352;HUBMet003360;HUBMet003772	19	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.9581940418182939	0.9581940418182939
Antidepressants Action	Drug	HUBMet000039;HUBMet000268;HUBMet000592;HUBMet000871;HUBMet001025;HUBMet001433;HUBMet001467;HUBMet001818;HUBMet002633;HUBMet003517;HUBMet003523;HUBMet003799;HUBMet003804;HUBMet003820;HUBMet002937;HUBMet000868;HUBMet000872;HUBMet000915	18	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.9581940418182939	0.9581940418182939
Drug	Drug	HUBMet000313;HUBMet000977;HUBMet001298;HUBMet001661;HUBMet002293;HUBMet003165;HUBMet003517;HUBMet003585;HUBMet003588;HUBMet003602;HUBMet003613;HUBMet003658;HUBMet003711;HUBMet003716;HUBMet003742;HUBMet003743;HUBMet003860;HUBMet003893;HUBMet003947	19	1	HUBMet003165	-0.6969092721834447	0.6374501992031872	-0.9222459932401533	0.9803491025720101	0.9803491025720101
NSAIDs Action	Drug	HUBMet000556;HUBMet000592;HUBMet000646;HUBMet000691;HUBMet001099;HUBMet001177;HUBMet001231;HUBMet001350;HUBMet001629;HUBMet001630;HUBMet001695;HUBMet002244;HUBMet002613;HUBMet002614;HUBMet002615;HUBMet002626;HUBMet002937;HUBMet001049;HUBMet002574;HUBMet001491;HUBMet000514;HUBMet000563;HUBMet000581;HUBMet001680;HUBMet001772;HUBMet000608;HUBMet001057;HUBMet000150;HUBMet003585	29	3	HUBMet000592;HUBMet002614;HUBMet001629	-0.2982499443392889	0.9792452830188679	-0.516299390939863	0.9858755319805095	0.9858755319805095
Antineoplastic-Chemotherapy Metabolism	Drug	HUBMet000039;HUBMet000871;HUBMet003490;HUBMet003725;HUBMet000592;HUBMet001630;HUBMet001818;HUBMet002937;HUBMet001025;HUBMet002633;HUBMet002942;HUBMet002574;HUBMet003632;HUBMet001333;HUBMet001336;HUBMet001696;HUBMet002277;HUBMet002289;HUBMet002910;HUBMet003502;HUBMet003724;HUBMet003501;HUBMet003610;HUBMet002510	24	4	HUBMet003724;HUBMet001336;HUBMet000592;HUBMet001333	0.22051831798262508	0.9978768577494692	0.4080984144926569	0.9998099702286691	0.9998099702286691
Drug-Antibiotic	Drug	HUBMet000822;HUBMet000948;HUBMet001344;HUBMet001386;HUBMet001428;HUBMet001436;HUBMet001503;HUBMet001603;HUBMet001778;HUBMet001785;HUBMet001795;HUBMet001842;HUBMet002441;HUBMet002442;HUBMet002506;HUBMet002571;HUBMet003612;HUBMet003690;HUBMet003691;HUBMet003729;HUBMet003738;HUBMet003781;HUBMet003782;HUBMet003809;HUBMet003819;HUBMet003827;HUBMet003828;HUBMet003846;HUBMet003903	29	2	HUBMet000948;HUBMet001386	0.8552894211576836	0.14107883817427386	1.2999370707247688	1.0069044150250206	1.0
Anticonvulsants Metabolism	Drug	HUBMet000592;HUBMet000854;HUBMet001038;HUBMet001818;HUBMet002937;HUBMet003917;HUBMet003939;HUBMet000871;HUBMet001251;HUBMet001252;HUBMet001275;HUBMet001308;HUBMet001336;HUBMet002277;HUBMet002574;HUBMet002578;HUBMet002579;HUBMet002633;HUBMet002945;HUBMet003055	20	2	HUBMet000592;HUBMet001336	-0.35885964487509564	0.971042471042471	-0.5423884145585591	1.022947232360505	1.0
