Term	TermClass	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Secondary Bile Acid Metabolism	Pathway	35	3	HUBMet000448;HUBMet001174;HUBMet001464	-0.8140847373630241	0.06792452830188679	-1.4092591199139393	0.7602099830945813
bile acid biosynthesis	Pathway	32	6	HUBMet002502;HUBMet000086;HUBMet001174;HUBMet001078;HUBMet001335;HUBMet000592	-0.6939445640139014	0.0440251572327044	-1.4922487425555262	0.7815641961028561
Amino Sugar Metabolism	Pathway	26	1	HUBMet000251	-0.802592223330004	0.4123505976095618	-1.0621001781950261	0.8321025002224397
Histidine Metabolism	Pathway	42	4	HUBMet001333;HUBMet002576;HUBMet000280;HUBMet001336	0.44581403247196016	0.6985138004246284	0.8250380352743292	0.8495766756434661
phosphatidylcholine biosynthesis	Pathway	250	67	HUBMet001483;HUBMet002134;HUBMet000189;HUBMet002139;HUBMet002074;HUBMet003292;HUBMet001476;HUBMet001472;HUBMet001475;HUBMet001910;HUBMet003129;HUBMet002055;HUBMet001912;HUBMet001951;HUBMet002073;HUBMet001477;HUBMet001205;HUBMet002146;HUBMet002150;HUBMet001473;HUBMet002133;HUBMet001137;HUBMet002045;HUBMet002136;HUBMet001060;HUBMet001913;HUBMet001484;HUBMet002063;HUBMet001138;HUBMet001140;HUBMet002069;HUBMet001333;HUBMet002792;HUBMet003284;HUBMet001908;HUBMet002057;HUBMet000015;HUBMet001909;HUBMet002132;HUBMet002130;HUBMet002128;HUBMet002145;HUBMet000416;HUBMet001486;HUBMet002041;HUBMet000648;HUBMet002061;HUBMet001911;HUBMet002137;HUBMet002682;HUBMet001474;HUBMet003286;HUBMet003087;HUBMet001454;HUBMet003409;HUBMet001141;HUBMet001830;HUBMet000299;HUBMet002054;HUBMet002042;HUBMet000397;HUBMet001478;HUBMet002043;HUBMet001453;HUBMet002131;HUBMet001946;HUBMet002070	0.2053501008128163	0.7826887661141805	0.833302711498953	0.8558444396512578
Benzoate Metabolism	Pathway	37	1	HUBMet002829	0.6181455633100719	0.7429718875502008	0.8349107113884907	0.8717409283173306
Aspartate Metabolism	Pathway	21	6	HUBMet001034;HUBMet001336;HUBMet001691;HUBMet000008;HUBMet001689;HUBMet000736	-0.4949717782407153	0.41509433962264153	-1.0643804303442657	0.8828780733754485
Methionine Metabolism	Pathway	27	6	HUBMet000378;HUBMet001336;HUBMet001662;HUBMet001701;HUBMet000015;HUBMet001333	0.389622401117084	0.6673040152963671	0.8380489817999129	0.8854870426016672
Sulfate/Sulfite Metabolism	Pathway	12	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.8945381515894907
Steroidogenesis	Pathway	19	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.8945381515894907
