Term	TermClass	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Secondary Bile Acid Metabolism	Pathway	HUBMet000087;HUBMet000100;HUBMet000128;HUBMet000135;HUBMet000153;HUBMet000154;HUBMet000158;HUBMet000235;HUBMet000333;HUBMet000385;HUBMet000444;HUBMet000448;HUBMet000481;HUBMet000506;HUBMet000712;HUBMet000769;HUBMet000860;HUBMet000882;HUBMet001024;HUBMet001089;HUBMet001093;HUBMet001174;HUBMet001463;HUBMet001464;HUBMet001465;HUBMet001466;HUBMet001636;HUBMet001640;HUBMet001641;HUBMet001727;HUBMet001728;HUBMet002504;HUBMet002505;HUBMet002577;HUBMet002981	35	3	HUBMet000448;HUBMet001464;HUBMet001174	-0.8140847373630241	0.06792452830188679	-1.4092591199139393	0.7602099830945813	0.7602099830945813
bile acid biosynthesis	Pathway	HUBMet000001;HUBMet000018;HUBMet000040;HUBMet000067;HUBMet000082;HUBMet000086;HUBMet000094;HUBMet000119;HUBMet000154;HUBMet000235;HUBMet000379;HUBMet000385;HUBMet000482;HUBMet000592;HUBMet000825;HUBMet000871;HUBMet001025;HUBMet001078;HUBMet001174;HUBMet001335;HUBMet001463;HUBMet001727;HUBMet001818;HUBMet002277;HUBMet002502;HUBMet002633;HUBMet002937;HUBMet002945;HUBMet003055;HUBMet003326;HUBMet003391;HUBMet003392	32	6	HUBMet000086;HUBMet001335;HUBMet000592;HUBMet001078;HUBMet002502;HUBMet001174	-0.6939445640139014	0.0440251572327044	-1.4922487425555262	0.7815641961028561	0.7815641961028561
Amino Sugar Metabolism	Pathway	HUBMet000039;HUBMet000054;HUBMet000133;HUBMet000251;HUBMet000520;HUBMet000521;HUBMet001025;HUBMet001444;HUBMet001695;HUBMet001696;HUBMet002186;HUBMet002277;HUBMet002278;HUBMet002573;HUBMet002574;HUBMet002595;HUBMet002633;HUBMet002911;HUBMet002912;HUBMet002917;HUBMet002919;HUBMet002924;HUBMet002945;HUBMet002947;HUBMet003055;HUBMet003482	26	1	HUBMet000251	-0.802592223330004	0.4123505976095618	-1.0621001781950261	0.8321025002224397	0.8321025002224397
Histidine Metabolism	Pathway	HUBMet000039;HUBMet000043;HUBMet000102;HUBMet000140;HUBMet000222;HUBMet000239;HUBMet000240;HUBMet000247;HUBMet000280;HUBMet000340;HUBMet000343;HUBMet000443;HUBMet000572;HUBMet000643;HUBMet000652;HUBMet000723;HUBMet000786;HUBMet000871;HUBMet000907;HUBMet000978;HUBMet001025;HUBMet001040;HUBMet001053;HUBMet001082;HUBMet001203;HUBMet001333;HUBMet001336;HUBMet001695;HUBMet001697;HUBMet001818;HUBMet002178;HUBMet002277;HUBMet002289;HUBMet002576;HUBMet002631;HUBMet002633;HUBMet002866;HUBMet002873;HUBMet002877;HUBMet002894;HUBMet002897;HUBMet002937	42	4	HUBMet001336;HUBMet001333;HUBMet002576;HUBMet000280	0.44581403247196016	0.6985138004246284	0.8250380352743292	0.8495766756434661	0.8495766756434661
phosphatidylcholine biosynthesis	Pathway	HUBMet000015;HUBMet000170;HUBMet000183;HUBMet000186;HUBMet000189;HUBMet000190;HUBMet000192;HUBMet000197;HUBMet000223;HUBMet000299;HUBMet000300;HUBMet000301;HUBMet000361;HUBMet000362;HUBMet000363;HUBMet000397;HUBMet000412;HUBMet000416;HUBMet000417;HUBMet000468;HUBMet000470;HUBMet000471;HUBMet000472;HUBMet000475;HUBMet000516;HUBMet000530;HUBMet000556;HUBMet000557;HUBMet000598;HUBMet000641;HUBMet000645;HUBMet000648;HUBMet000650;HUBMet000653;HUBMet000654;HUBMet000655;HUBMet000656;HUBMet000659;HUBMet000660;HUBMet000754;HUBMet000757;HUBMet000764;HUBMet000787;HUBMet000788;HUBMet000789;HUBMet000790;HUBMet000916;HUBMet000939;HUBMet000941;HUBMet000961;HUBMet000979;HUBMet000980;HUBMet000987;HUBMet000988;HUBMet000994;HUBMet001025;HUBMet001060;HUBMet001061;HUBMet001102;HUBMet001134;HUBMet001136;HUBMet001137;HUBMet001138;HUBMet001139;HUBMet001140;HUBMet001141;HUBMet001142;HUBMet001149;HUBMet001204;HUBMet001205;HUBMet001207;HUBMet001211;HUBMet001212;HUBMet001213;HUBMet001214;HUBMet001217;HUBMet001218;HUBMet001220;HUBMet001235;HUBMet001333;HUBMet001452;HUBMet001453;HUBMet001454;HUBMet001469;HUBMet001470;HUBMet001471;HUBMet001472;HUBMet001473;HUBMet001474;HUBMet001475;HUBMet001476;HUBMet001477;HUBMet001478;HUBMet001479;HUBMet001480;HUBMet001481;HUBMet001482;HUBMet001483;HUBMet001484;HUBMet001486;HUBMet001487;HUBMet001488;HUBMet001726;HUBMet001789;HUBMet001830;HUBMet001906;HUBMet001907;HUBMet001908;HUBMet001909;HUBMet001910;HUBMet001911;HUBMet001912;HUBMet001913;HUBMet001935;HUBMet001937;HUBMet001940;HUBMet001946;HUBMet001947;HUBMet001950;HUBMet001951;HUBMet002037;HUBMet002039;HUBMet002040;HUBMet002041;HUBMet002042;HUBMet002043;HUBMet002044;HUBMet002045;HUBMet002047;HUBMet002048;HUBMet002049;HUBMet002051;HUBMet002052;HUBMet002053;HUBMet002054;HUBMet002055;HUBMet002057;HUBMet002058;HUBMet002060;HUBMet002061;HUBMet002063;HUBMet002069;HUBMet002070;HUBMet002072;HUBMet002073;HUBMet002074;HUBMet002078;HUBMet002081;HUBMet002091;HUBMet002127;HUBMet002128;HUBMet002129;HUBMet002130;HUBMet002131;HUBMet002132;HUBMet002133;HUBMet002134;HUBMet002136;HUBMet002137;HUBMet002139;HUBMet002140;HUBMet002141;HUBMet002142;HUBMet002144;HUBMet002145;HUBMet002146;HUBMet002150;HUBMet002182;HUBMet002184;HUBMet002254;HUBMet002255;HUBMet002256;HUBMet002257;HUBMet002258;HUBMet002259;HUBMet002261;HUBMet002262;HUBMet002263;HUBMet002264;HUBMet002265;HUBMet002268;HUBMet002269;HUBMet002270;HUBMet002271;HUBMet002272;HUBMet002274;HUBMet002277;HUBMet002289;HUBMet002633;HUBMet002682;HUBMet002792;HUBMet002793;HUBMet003038;HUBMet003043;HUBMet003044;HUBMet003045;HUBMet003046;HUBMet003047;HUBMet003048;HUBMet003049;HUBMet003051;HUBMet003052;HUBMet003053;HUBMet003054;HUBMet003063;HUBMet003086;HUBMet003087;HUBMet003088;HUBMet003090;HUBMet003092;HUBMet003094;HUBMet003099;HUBMet003100;HUBMet003101;HUBMet003104;HUBMet003105;HUBMet003106;HUBMet003107;HUBMet003115;HUBMet003123;HUBMet003124;HUBMet003126;HUBMet003127;HUBMet003128;HUBMet003129;HUBMet003227;HUBMet003261;HUBMet003266;HUBMet003267;HUBMet003271;HUBMet003280;HUBMet003281;HUBMet003282;HUBMet003283;HUBMet003284;HUBMet003285;HUBMet003286;HUBMet003287;HUBMet003288;HUBMet003289;HUBMet003290;HUBMet003291;HUBMet003292;HUBMet003293;HUBMet003294;HUBMet003295;HUBMet003296;HUBMet003409;HUBMet003410;HUBMet003496	250	67	HUBMet002054;HUBMet000299;HUBMet002070;HUBMet001140;HUBMet002074;HUBMet001908;HUBMet002069;HUBMet003129;HUBMet002061;HUBMet003409;HUBMet002136;HUBMet001910;HUBMet001475;HUBMet002057;HUBMet001137;HUBMet002041;HUBMet002792;HUBMet003087;HUBMet000416;HUBMet000648;HUBMet000397;HUBMet002055;HUBMet001333;HUBMet001912;HUBMet002150;HUBMet002043;HUBMet002146;HUBMet003286;HUBMet002133;HUBMet001453;HUBMet002045;HUBMet001454;HUBMet001477;HUBMet002063;HUBMet001830;HUBMet000015;HUBMet001951;HUBMet001478;HUBMet002132;HUBMet001913;HUBMet001138;HUBMet001474;HUBMet003292;HUBMet001911;HUBMet001205;HUBMet002134;HUBMet001483;HUBMet002073;HUBMet002137;HUBMet002128;HUBMet001060;HUBMet001946;HUBMet001472;HUBMet000189;HUBMet001141;HUBMet001473;HUBMet003284;HUBMet001484;HUBMet002682;HUBMet002042;HUBMet002139;HUBMet001476;HUBMet001486;HUBMet002130;HUBMet002131;HUBMet001909;HUBMet002145	0.2053501008128163	0.7826887661141805	0.833302711498953	0.8558444396512578	0.8558444396512578
Benzoate Metabolism	Pathway	HUBMet000062;HUBMet000077;HUBMet000107;HUBMet000113;HUBMet000115;HUBMet000124;HUBMet000147;HUBMet000212;HUBMet000244;HUBMet000307;HUBMet000308;HUBMet000309;HUBMet000313;HUBMet000367;HUBMet000369;HUBMet000399;HUBMet000528;HUBMet000668;HUBMet000680;HUBMet000686;HUBMet000688;HUBMet000796;HUBMet000820;HUBMet000832;HUBMet000944;HUBMet001019;HUBMet001245;HUBMet001277;HUBMet001303;HUBMet001614;HUBMet002826;HUBMet002828;HUBMet002829;HUBMet002993;HUBMet003352;HUBMet003717;HUBMet003899	37	1	HUBMet002829	0.6181455633100719	0.7429718875502008	0.8349107113884907	0.8717409283173306	0.8717409283173306
Aspartate Metabolism	Pathway	HUBMet000008;HUBMet000012;HUBMet000039;HUBMet000122;HUBMet000222;HUBMet000328;HUBMet000736;HUBMet000871;HUBMet000902;HUBMet001034;HUBMet001336;HUBMet001645;HUBMet001689;HUBMet001691;HUBMet001695;HUBMet001696;HUBMet001796;HUBMet001848;HUBMet002277;HUBMet002633;HUBMet003488	21	6	HUBMet000736;HUBMet001689;HUBMet001691;HUBMet000008;HUBMet001034;HUBMet001336	-0.4949717782407153	0.41509433962264153	-1.0643804303442657	0.8828780733754485	0.8828780733754485
Methionine Metabolism	Pathway	HUBMet000001;HUBMet000014;HUBMet000015;HUBMet000039;HUBMet000052;HUBMet000061;HUBMet000099;HUBMet000125;HUBMet000151;HUBMet000374;HUBMet000377;HUBMet000378;HUBMet000871;HUBMet000945;HUBMet001333;HUBMet001336;HUBMet001662;HUBMet001693;HUBMet001701;HUBMet001706;HUBMet001818;HUBMet002277;HUBMet002289;HUBMet002625;HUBMet002633;HUBMet002871;HUBMet003381	27	6	HUBMet001701;HUBMet001662;HUBMet001333;HUBMet000378;HUBMet001336;HUBMet000015	0.389622401117084	0.6673040152963671	0.8380489817999129	0.8854870426016672	0.8854870426016672
Sulfate/Sulfite Metabolism	Pathway	HUBMet000039;HUBMet000095;HUBMet000278;HUBMet000592;HUBMet000722;HUBMet001025;HUBMet001517;HUBMet002176;HUBMet002277;HUBMet002633;HUBMet003500;HUBMet003501	12	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.8945381515894907	0.8945381515894907
Steroidogenesis	Pathway	HUBMet000018;HUBMet000019;HUBMet000026;HUBMet000109;HUBMet000592;HUBMet000859;HUBMet001175;HUBMet001232;HUBMet001233;HUBMet001338;HUBMet001437;HUBMet001438;HUBMet001818;HUBMet002240;HUBMet002241;HUBMet002619;HUBMet002725;HUBMet002937;HUBMet002976	19	1	HUBMet000592	-0.8155533399800537	0.39243027888446214	-1.079252106538548	0.8945381515894907	0.8945381515894907
