HMDB-Disease	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Celiac disease	125	10	HMDB0011638;HMDB0000763;HMDB0000738;HMDB0004327;HMDB0002939;HMDB0000162;HMDB0001491;HMDB0005842;HMDB0000688;HMDB0002366	0.7329277340182713	0.0036036036036036037	1.8944282680900668	0.058467098968852986
Very Long Chain Acyl-CoA Dehydrogenase Deficiency	15	3	HMDB0000201;HMDB0000688;HMDB0000499	0.9018558864998207	0.009746588693957114	1.5586976244682724	0.28736579143191243
Nonalcoholic fatty liver disease	156	5	HMDB0000738;HMDB0002048;HMDB0004327;HMDB0000990;HMDB0005842	0.7604459933026135	0.036053130929791274	1.5706703271940252	0.3675631621841891
Argininosuccinic aciduria	11	5	HMDB0000517;HMDB0000052;HMDB0000051;HMDB0000123;HMDB0000904	0.6829868142299497	0.08918406072106262	1.4106815374446566	0.37899672820476477
Ulcerative colitis	304	37	HMDB0000517;HMDB0000763;HMDB0000738;HMDB0005842;HMDB0000158;HMDB0000123;HMDB0000254;HMDB0000122;HMDB0000898;HMDB0000214;HMDB0000715;HMDB0000725;HMDB0004160;HMDB0000191;HMDB0000299;HMDB0002939;HMDB0000128;HMDB0000792;HMDB0000045;HMDB0000099;HMDB0001406;HMDB0000064;HMDB0003345;HMDB0000020;HMDB0000888;HMDB0000230;HMDB0011502;HMDB0000162;HMDB0000148;HMDB0004327;HMDB0000164;HMDB0000201;HMDB0000990;HMDB0000926;HMDB0000317;HMDB0000167;HMDB0000904	0.3927458202199263	0.05815831987075929	1.4157202962073765	0.4139470606994792
Pervasive developmental disorder not otherwise specified	82	2	HMDB0002939;HMDB0000738	0.9366602687140102	0.021912350597609563	1.4501682926865507	0.42154778356543005
N-acetylglutamate synthetase deficiency	10	6	HMDB0000904;HMDB0000123;HMDB0000214;HMDB0000051;HMDB0000148;HMDB0000517	0.6440331969354991	0.09647495361781076	1.4292362871507478	0.42413704080547926
Cystic fibrosis	24	3	HMDB0000064;HMDB0013248;HMDB0011733	0.7854039607146814	0.09551656920077972	1.3574311662644891	0.4714786860848304
Hypertension	16	4	HMDB0005998;HMDB0001035;HMDB0005199;HMDB0004989	0.7604578267016908	0.05847953216374269	1.4520400710321026	0.5014138407568832
Crohn's disease	237	32	HMDB0000064;HMDB0000123;HMDB0000254;HMDB0000128;HMDB0000990;HMDB0001406;HMDB0000299;HMDB0000725;HMDB0000214;HMDB0000020;HMDB0004327;HMDB0004160;HMDB0000763;HMDB0000738;HMDB0000162;HMDB0000164;HMDB0000317;HMDB0000148;HMDB0000191;HMDB0000898;HMDB0010340;HMDB0005842;HMDB0000158;HMDB0000045;HMDB0000099;HMDB0000715;HMDB0000826;HMDB0000201;HMDB0000167;HMDB0000904;HMDB0028805;HMDB0000517	0.45547255071465287	0.02866779089376054	1.5757393473384749	0.5238652067609227
Lung Cancer	41	7	HMDB0000123;HMDB0000064;HMDB0000956;HMDB0000020;HMDB0000254;HMDB0000754;HMDB0000134	0.566681309445322	0.1618705035971223	1.3278290069034802	0.5368342723503774
Eosinophilic esophagitis	334	50	HMDB0007989;HMDB0000660;HMDB0000044;HMDB0000148;HMDB0001341;HMDB0000294;HMDB0008059;HMDB0000254;HMDB0000725;HMDB0000635;HMDB0000682;HMDB0000214;HMDB0000064;HMDB0000134;HMDB0000792;HMDB0007887;HMDB0000904;HMDB0000939;HMDB0000754;HMDB0013466;HMDB0000191;HMDB0000273;HMDB0013465;HMDB0001925;HMDB0000162;HMDB0000020;HMDB0000731;HMDB0000517;HMDB0000211;HMDB0000232;HMDB0000128;HMDB0013431;HMDB0000164;HMDB0000099;HMDB0000715;HMDB0001511;HMDB0000208;HMDB0000158;HMDB0002643;HMDB0000123;HMDB0000574;HMDB0000858;HMDB0000201;HMDB0003391;HMDB0000122;HMDB0001348;HMDB0000763;HMDB0013418;HMDB0000167;HMDB0000317	0.3470862923050359	0.09602649006622517	1.304295722163725	0.5430244253461007
Isovaleric acidemia	27	2	HMDB0000688;HMDB0002226	0.8475801886468779	0.10756972111553785	1.3122515773755723	0.5530987562453492
Alcoholism	18	1	HMDB0000990	0.947267497603068	0.11178861788617886	1.266079419072871	0.6018213387193935
Diverticular disease	23	6	HMDB0000148;HMDB0000122;HMDB0000123;HMDB0000134;HMDB0001406;HMDB0000164	0.5429254288433205	0.24304267161410018	1.204858270989825	0.6309184649728925
Hepatocellular carcinoma	18	3	HMDB0000294;HMDB0000896;HMDB0004160	0.7151749893128367	0.21637426900584794	1.2360528700959612	0.6395612778969354
Phenylketonuria	27	2	HMDB0000020;HMDB0000123	0.818060527509912	0.16135458167330677	1.2665482652766686	0.6426369420947927
Schizophrenia	123	21	HMDB0000211;HMDB0000128;HMDB0000148;HMDB0000158;HMDB0000763;HMDB0000517;HMDB0000064;HMDB0000123;HMDB0000214;HMDB0001311;HMDB0000490;HMDB0000167;HMDB0000208;HMDB0000904;HMDB0000715;HMDB0000020;HMDB0000898;HMDB0000122;HMDB0000826;HMDB0002231;HMDB0000191	0.3981499193551964	0.185121107266436	1.2446472627253453	0.646646114595514
