HumanGEM-Subsystem	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Arginine and proline metabolism	65	31	HMDB0006875;HMDB0000221;HMDB0000148;HMDB0001341;HMDB0000294;HMDB0000254;HMDB0000725;HMDB0000214;HMDB0000064;HMDB0000904;HMDB0001377;HMDB0003125;HMDB0000939;HMDB0001487;HMDB0000902;HMDB0000191;HMDB0000162;HMDB0000517;HMDB0000223;HMDB0000128;HMDB0003411;HMDB0006556;HMDB0000208;HMDB0000123;HMDB0001248;HMDB0000217;HMDB0001185;HMDB0006078;HMDB0001967;HMDB0002111;HMDB0000538	0.5334364647305977	0.0016750418760469012	1.8413888849322486	0.38590963259205396
Carnitine shuttle (cytosolic)	33	2	HMDB0000201;HMDB0001275	-0.8295259922355962	0.13654618473895583	-1.3202395021732216	0.417488129955894
Carnitine shuttle (peroxisomal)	10	2	HMDB0001275;HMDB0000201	-0.8295259922355962	0.13654618473895583	-1.3202395021732216	0.417488129955894
Carnitine shuttle (mitochondrial)	33	2	HMDB0000201;HMDB0001275	-0.8295259922355962	0.13654618473895583	-1.3202395021732216	0.417488129955894
Phenylalanine, tyrosine and tryptophan biosynthesis	92	32	HMDB0000158;HMDB0001248;HMDB0000538;HMDB0000574;HMDB0002111;HMDB0005199;HMDB0000990;HMDB0000164;HMDB0000045;HMDB0000123;HMDB0000044;HMDB0000902;HMDB0000208;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0000134;HMDB0001377;HMDB0000295;HMDB0001264;HMDB0004067;HMDB0003892;HMDB0003125;HMDB0000020;HMDB0000939;HMDB0000250;HMDB0000148;HMDB0001430;HMDB0000715;HMDB0001253;HMDB0001185;HMDB0001967	0.5021481525968686	0.003372681281618887	1.7372168772820746	0.4405663616716152
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	10	5	HMDB0001377;HMDB0002111;HMDB0001487;HMDB0000902;HMDB0003125	0.6073147256977874	0.19165085388994307	1.2543839106558352	0.5688677094785074
Beta oxidation of even-chain fatty acids (peroxisomal)	20	5	HMDB0001487;HMDB0000902;HMDB0003125;HMDB0001377;HMDB0002111	0.6073147256977874	0.19165085388994307	1.2543839106558352	0.5688677094785074
Beta oxidation of even-chain fatty acids (mitochondrial)	21	4	HMDB0001248;HMDB0002111;HMDB0000902;HMDB0001487	0.6432692307692318	0.2124756335282651	1.2282767916140176	0.5710372633454067
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)	10	4	HMDB0001248;HMDB0002111;HMDB0000902;HMDB0001487	0.6432692307692318	0.2124756335282651	1.2282767916140176	0.5710372633454067
Terpenoid backbone biosynthesis	17	12	HMDB0003125;HMDB0000221;HMDB0001487;HMDB0001967;HMDB0000574;HMDB0001185;HMDB0000902;HMDB0001377;HMDB0000939;HMDB0000250;HMDB0002111;HMDB0000217	0.4408299402326309	0.23369565217391305	1.2117193566942455	0.5710599297219912
Steroid metabolism	61	13	HMDB0000158;HMDB0000902;HMDB0000295;HMDB0003125;HMDB0002833;HMDB0000490;HMDB0000675;HMDB0000990;HMDB0002111;HMDB0001377;HMDB0000217;HMDB0001487;HMDB0000221	0.445017410673179	0.20658135283363802	1.2462195521591357	0.5715254836981921
Omega-6 fatty acid metabolism	18	9	HMDB0001377;HMDB0002111;HMDB0001487;HMDB0000217;HMDB0001248;HMDB0000221;HMDB0001967;HMDB0000902;HMDB0003125	0.4797356375090213	0.2546816479400749	1.186221811321042	0.5775762431521991
Phenylalanine metabolism	19	13	HMDB0000045;HMDB0001487;HMDB0000295;HMDB0000221;HMDB0000208;HMDB0000148;HMDB0001377;HMDB0000902;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0000538;HMDB0000123	0.4253177431046804	0.24680073126142596	1.1910529220316513	0.5828631446519104
Pentose phosphate pathway	19	11	HMDB0002111;HMDB0000123;HMDB0001341;HMDB0000538;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0000902;HMDB0000990;HMDB0001967;HMDB0000045	0.45178518056065203	0.23476702508960573	1.2134630121949683	0.5842990668363327
Purine metabolism	55	22	HMDB0000538;HMDB0002111;HMDB0000045;HMDB0000123;HMDB0001341;HMDB0000044;HMDB0000122;HMDB0000902;HMDB0000191;HMDB0000221;HMDB0000294;HMDB0001487;HMDB0000217;HMDB0000134;HMDB0001377;HMDB0000295;HMDB0003125;HMDB0000299;HMDB0000250;HMDB0000148;HMDB0000660;HMDB0001967	0.40336992372109826	0.16040955631399317	1.2787089224453805	0.5881119257778047
Glycine, serine and threonine metabolism	59	23	HMDB0000939;HMDB0000123;HMDB0000064;HMDB0003125;HMDB0000167;HMDB0001248;HMDB0000221;HMDB0001275;HMDB0000990;HMDB0000517;HMDB0000208;HMDB0001185;HMDB0000214;HMDB0001487;HMDB0002111;HMDB0000217;HMDB0001341;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0000128;HMDB0001377;HMDB0000902	0.3778564404344275	0.21777003484320556	1.1958812845328468	0.588266185708362
Glycosphingolipid biosynthesis-ganglio series	10	4	HMDB0000302;HMDB0000230;HMDB0000295;HMDB0002111	0.6748248280855281	0.1617933723196881	1.2885299577459894	0.5942389043011064
Omega-3 fatty acid metabolism	18	9	HMDB0001377;HMDB0003125;HMDB0000221;HMDB0001487;HMDB0000148;HMDB0000217;HMDB0000902;HMDB0001967;HMDB0002111	0.46535392725615643	0.3089887640449438	1.1506607709225642	0.6061078767859354
Galactose metabolism	20	12	HMDB0001341;HMDB0000660;HMDB0000295;HMDB0001487;HMDB0000221;HMDB0000902;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0000538;HMDB0000302;HMDB0000122	0.4711227489928091	0.17572463768115942	1.2949858941802759	0.6073973694406343
Folate metabolism	18	11	HMDB0000250;HMDB0000221;HMDB0001562;HMDB0001487;HMDB0000217;HMDB0000148;HMDB0001341;HMDB0000902;HMDB0001967;HMDB0002111;HMDB0000538	0.4252437614661941	0.30286738351254483	1.142174639428243	0.6100850350441335
Fatty acid biosynthesis	37	8	HMDB0000826;HMDB0000221;HMDB0000902;HMDB0001967;HMDB0000217;HMDB0001377;HMDB0001487;HMDB0002111	0.468756468462463	0.32082551594746717	1.1334129044620134	0.6108788301116969
Tyrosine metabolism	45	20	HMDB0000902;HMDB0000123;HMDB0000158;HMDB0001430;HMDB0000295;HMDB0000221;HMDB0000148;HMDB0001377;HMDB0004067;HMDB0003125;HMDB0001253;HMDB0000217;HMDB0001967;HMDB0000208;HMDB0000675;HMDB0000164;HMDB0002111;HMDB0001487;HMDB0000574;HMDB0000051	0.37711031721942095	0.2543859649122807	1.162905856822494	0.6110273152629088
Ubiquinone synthesis	16	11	HMDB0001377;HMDB0002111;HMDB0000045;HMDB0001487;HMDB0000538;HMDB0000939;HMDB0000217;HMDB0000221;HMDB0001185;HMDB0000250;HMDB0000902	0.4671122225268527	0.2060931899641577	1.2546303618837384	0.6119260367578855
Lysine metabolism	32	17	HMDB0001248;HMDB0000295;HMDB0000902;HMDB0003125;HMDB0000148;HMDB0000254;HMDB0000939;HMDB0002111;HMDB0000123;HMDB0001377;HMDB0000217;HMDB0000302;HMDB0001487;HMDB0000208;HMDB0000221;HMDB0001967;HMDB0001185	0.49696428628369876	0.05486725663716814	1.486858537356533	0.613231937627502
Leukotriene metabolism	26	14	HMDB0000217;HMDB0001248;HMDB0000221;HMDB0000902;HMDB0000250;HMDB0000045;HMDB0001509;HMDB0001487;HMDB0000538;HMDB0000148;HMDB0000123;HMDB0001377;HMDB0003125;HMDB0002111	0.40571760387005107	0.27889908256880735	1.1513390613469074	0.619573687293432
Arachidonic acid metabolism	31	13	HMDB0001248;HMDB0000902;HMDB0003125;HMDB0005082;HMDB0002111;HMDB0001377;HMDB0000538;HMDB0000250;HMDB0000045;HMDB0000217;HMDB0001487;HMDB0004244;HMDB0000221	0.4499596611467787	0.19744058500914077	1.2600597503719444	0.6237492173140238
Glutathione metabolism	17	9	HMDB0003125;HMDB0001487;HMDB0000148;HMDB0000538;HMDB0002111;HMDB0001341;HMDB0000574;HMDB0000123;HMDB0000902	0.4098768555054255	0.4550561797752809	1.0134849861911206	0.628973714862405
C5-branched dibasic acid metabolism	13	5	HMDB0001341;HMDB0002111;HMDB0000538;HMDB0006345;HMDB0001967	0.5199618223802328	0.3738140417457306	1.0739600351360743	0.6334176614352947
Metabolism of other amino acids	31	14	HMDB0000538;HMDB0000221;HMDB0001377;HMDB0002111;HMDB0001185;HMDB0000045;HMDB0000250;HMDB0001341;HMDB0000902;HMDB0001487;HMDB0000217;HMDB0001491;HMDB0000939;HMDB0003125	0.4567849774256722	0.1688073394495413	1.2962572541345507	0.6341127010096289
Glucocorticoid biosynthesis	14	6	HMDB0000902;HMDB0001377;HMDB0002111;HMDB0000221;HMDB0001487;HMDB0000217	0.4399692367901181	0.4805194805194805	0.9763782386413754	0.6344544698783322
Biotin metabolism	10	5	HMDB0000045;HMDB0000538;HMDB0000250;HMDB0002111;HMDB0001341	0.4911550423304578	0.4459203036053131	1.0144608004176647	0.6385195476724289
Bile acid recycling	17	5	HMDB0001341;HMDB0000250;HMDB0000045;HMDB0000538;HMDB0002111	0.4911550423304578	0.4459203036053131	1.0144608004176647	0.6385195476724289
Androgen metabolism	25	8	HMDB0001487;HMDB0001377;HMDB0000217;HMDB0000554;HMDB0000990;HMDB0002111;HMDB0000221;HMDB0000902	0.4048085679872795	0.48592870544090055	0.9787923701586462	0.6397989547680806
Pentose and glucuronate interconversions	20	9	HMDB0000902;HMDB0000295;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0000221;HMDB0001967	0.4503134833416982	0.352059925093633	1.1134709079473633	0.639988496560029
Pantothenate and CoA metabolism	14	8	HMDB0002991;HMDB0002111;HMDB0000045;HMDB0000538;HMDB0001341;HMDB0001967;HMDB0000574;HMDB0000250	0.4253913237507206	0.43151969981238275	1.0285597068488324	0.6413730986434939
Glycerolipid metabolism	30	8	HMDB0002111;HMDB0000217;HMDB0000538;HMDB0001487;HMDB0001341;HMDB0000221;HMDB0000990;HMDB0000902	0.4137819802679015	0.4596622889305816	1.0004893108094595	0.6424021825359514
Nicotinate and nicotinamide metabolism	22	17	HMDB0001341;HMDB0000232;HMDB0001185;HMDB0003125;HMDB0000045;HMDB0000902;HMDB0000221;HMDB0001967;HMDB0000208;HMDB0000148;HMDB0000939;HMDB0000217;HMDB0000538;HMDB0001487;HMDB0001377;HMDB0002111;HMDB0000250	0.3596060122039455	0.3433628318584071	1.0758987800281143	0.642806831167168
Eicosanoid metabolism	33	13	HMDB0000045;HMDB0001487;HMDB0000221;HMDB0004244;HMDB0001509;HMDB0000148;HMDB0001377;HMDB0000902;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0000538;HMDB0000123	0.38604565479461667	0.3491773308957952	1.0810760017307408	0.6452590525921066
Xenobiotics metabolism	33	9	HMDB0000295;HMDB0006492;HMDB0003125;HMDB0000902;HMDB0000221;HMDB0000217;HMDB0001377;HMDB0001487;HMDB0002111	0.42036781398524875	0.43820224719101125	1.03942553093582	0.6460068643308055
Estrogen metabolism	25	7	HMDB0001185;HMDB0003125;HMDB0001377;HMDB0000939;HMDB0000221;HMDB0000217;HMDB0002111	0.4496384083030997	0.381294964028777	1.0535779303311819	0.6461750388818195
Butanoate metabolism	16	8	HMDB0002111;HMDB0000045;HMDB0001487;HMDB0000538;HMDB0000208;HMDB0001248;HMDB0000250;HMDB0000902	0.5390500423973809	0.17636022514071295	1.3033767325024372	0.6462744147528733
Porphyrin metabolism	21	11	HMDB0000044;HMDB0000936;HMDB0000250;HMDB0000902;HMDB0001377;HMDB0002111;HMDB0000221;HMDB0001264;HMDB0001487;HMDB0000217;HMDB0001967	0.39496163943041157	0.37992831541218636	1.0608390033730823	0.6468895987165393
Serotonin and melatonin biosynthesis	25	12	HMDB0001967;HMDB0000221;HMDB0002111;HMDB0004081;HMDB0001185;HMDB0000902;HMDB0001487;HMDB0003125;HMDB0000763;HMDB0000217;HMDB0000939;HMDB0001377	0.356399780579781	0.46557971014492755	0.979644242453693	0.6475179707349119
Riboflavin metabolism	13	10	HMDB0000217;HMDB0001248;HMDB0001341;HMDB0000221;HMDB0000250;HMDB0000045;HMDB0001487;HMDB0000538;HMDB0000902;HMDB0002111	0.4203597197821361	0.36396396396396397	1.0865209473732995	0.6482251262957801
Fatty acid metabolism	21	7	HMDB0002111;HMDB0000902;HMDB0002231;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0001377	0.4665205683449111	0.35071942446043164	1.0931356525095361	0.6501591078940652
Fructose and mannose metabolism	17	10	HMDB0000221;HMDB0001487;HMDB0000122;HMDB0000902;HMDB0000660;HMDB0000538;HMDB0000250;HMDB0002111;HMDB0001341;HMDB0000217	0.3983154752212046	0.42702702702702705	1.0295422875319484	0.6507557040324667
Fatty acid activation (endoplasmic reticular)	56	8	HMDB0002226;HMDB0000250;HMDB0002177;HMDB0000538;HMDB0002356;HMDB0000826;HMDB0000045;HMDB0002231	0.39478547681638154	0.5234521575984991	0.9545573960516067	0.6516509041868067
