KEGG.Name	KEGG.ID	Pathway.Class	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Arginine and proline metabolism	map00330	Amino acid metabolism	57	47	HMDB0004224;HMDB0001487;HMDB0000208;HMDB0000051;HMDB0000064;HMDB0001185;HMDB0000902;HMDB0000052;HMDB0000939;HMDB0000254;HMDB0000250;HMDB0001341;HMDB0001301;HMDB0000223;HMDB0001429;HMDB0001096;HMDB0002070;HMDB0000162;HMDB0000294;HMDB0002111;HMDB0006556;HMDB0000217;HMDB0001248;HMDB0000214;HMDB0001967;HMDB0003411;HMDB0001377;HMDB0001333;HMDB0000134;HMDB0059597;HMDB0000221;HMDB0003125;HMDB0006875;HMDB0000128;HMDB0001491;HMDB0002234;HMDB0000123;HMDB0001511;HMDB0002273;HMDB0000191;HMDB0000517;HMDB0001369;HMDB0000045;HMDB0000538;HMDB0000148;HMDB0002104;HMDB0000904	0.5581427121784204	0.0	2.0769163784324607	0.0
One carbon pool by folate	map00670	Cofactors and vitamins metabolism	29	15	HMDB0001248;HMDB0000902;HMDB0000148;HMDB0001491;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0059597;HMDB0000221;HMDB0000051;HMDB0001429;HMDB0001967;HMDB0001562	0.49247833875764524	0.08687615526802218	1.4132870510357451	0.2685837137242581
Galactose metabolism	map00052	Carbohydrate metabolism	38	13	HMDB0000660;HMDB0000295;HMDB0003345;HMDB0001341;HMDB0000302;HMDB0000902;HMDB0000211;HMDB0000538;HMDB0001487;HMDB0000122;HMDB0001429;HMDB0002111;HMDB0000250	0.4992154621051785	0.10786106032906764	1.3979948979401293	0.2786795592324967
D-Arginine and D-Ornithine Metabolism	map00472	Amino acid metabolism	11	7	HMDB0002111;HMDB0001248;HMDB0000294;HMDB0006875;HMDB0000051;HMDB0001377;HMDB0003125	0.608486017357762	0.09712230215827339	1.425784423583093	0.2797267893089445
Pyrimidine metabolism	map00240	Nucleotide metabolism	57	14	HMDB0000295;HMDB0001429;HMDB0000273;HMDB0001341;HMDB0000250;HMDB0001248;HMDB0002111;HMDB0000538;HMDB0000221;HMDB0000051;HMDB0003364;HMDB0001096;HMDB0000217;HMDB0001967	0.5220322254567035	0.060550458715596334	1.4814148726035226	0.2803720522853416
Citrate cycle (TCA cycle)	map00020	Carbohydrate metabolism	32	15	HMDB0000223;HMDB0000538;HMDB0001967;HMDB0000208;HMDB0000134;HMDB0001248;HMDB0002111;HMDB0001429;HMDB0000254;HMDB0000902;HMDB0001341;HMDB0001487;HMDB0001333;HMDB0059597;HMDB0001072	0.4932624432556043	0.08687615526802218	1.415537230681047	0.281770342444235
Glycolysis / Gluconeogenesis	map00010	Carbohydrate metabolism	34	16	HMDB0002111;HMDB0001487;HMDB0000538;HMDB0000208;HMDB0001341;HMDB0001333;HMDB0000223;HMDB0001429;HMDB0003391;HMDB0001294;HMDB0003345;HMDB0003498;HMDB0001967;HMDB0000122;HMDB0000902;HMDB0059597	0.4929646727883765	0.07366482504604052	1.4473170032874993	0.28194655904363725
Riboflavin metabolism	map00740	Cofactors and vitamins metabolism	20	11	HMDB0001248;HMDB0001341;HMDB0000250;HMDB0000045;HMDB0003364;HMDB0003826;HMDB0000538;HMDB0001377;HMDB0003125;HMDB0001429;HMDB0002111	0.5431789213511248	0.08422939068100359	1.4589401300095588	0.28551564445375316
Nitrogen metabolism	map00910	Energy metabolism	31	18	HMDB0000208;HMDB0001248;HMDB0000051;HMDB0001341;HMDB0000191;HMDB0001451;HMDB0000250;HMDB0000045;HMDB0001491;HMDB0001096;HMDB0001487;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0000123;HMDB0000902;HMDB0001429;HMDB0002111	0.47467236052176903	0.08141592920353982	1.4334018179655208	0.2863675578095936
Histidine metabolism	map00340	Amino acid metabolism	42	22	HMDB0002111;HMDB0001341;HMDB0000051;HMDB0000217;HMDB0001377;HMDB0001491;HMDB0000148;HMDB0001185;HMDB0000221;HMDB0000898;HMDB0059597;HMDB0001487;HMDB0003125;HMDB0001967;HMDB0000045;HMDB0000250;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0001333;HMDB0000902;HMDB0000939	0.49070912408092604	0.03583617747440273	1.5555798744219	0.28823761151753613
Fatty acid degradation	map00071	Lipid metabolism	43	12	HMDB0003948;HMDB0001967;HMDB0000538;HMDB0002111;HMDB0001248;HMDB0000045;HMDB0000250;HMDB0000902;HMDB0001487;HMDB0059597;HMDB0003937;HMDB0003932	0.5744579726717708	0.04891304347826087	1.579025791048558	0.2906063462142633
Alanine, aspartate and glutamate metabolism	map00250	Amino acid metabolism	68	32	HMDB0000517;HMDB0000052;HMDB0001301;HMDB0059597;HMDB0000208;HMDB0001491;HMDB0000123;HMDB0000254;HMDB0001341;HMDB0003125;HMDB0000191;HMDB0000223;HMDB0000134;HMDB0000574;HMDB0000045;HMDB0000902;HMDB0001967;HMDB0000538;HMDB0001487;HMDB0001429;HMDB0000250;HMDB0001248;HMDB0001259;HMDB0000051;HMDB0000221;HMDB0000148;HMDB0000217;HMDB0001333;HMDB0001377;HMDB0000904;HMDB0001096;HMDB0002111	0.4638442528721463	0.021922428330522766	1.6047018401891695	0.2925262680210842
Caffeine metabolism	map00232	Biosynthesis of other secondary metabolites	23	6	HMDB0002111;HMDB0000902;HMDB0001248;HMDB0003125;HMDB0001487;HMDB0001377	0.6078998073217701	0.14100185528756956	1.3490491914242684	0.29829434479136024
Vitamin B6 metabolism	map00750	Cofactors and vitamins metabolism	19	7	HMDB0001491;HMDB0001248;HMDB0001377;HMDB0003125;HMDB0002111;HMDB0001429;HMDB0000051	0.5795564127290241	0.1474820143884892	1.357997525472959	0.3011659161517785
Oxidative phosphorylation	map00190	Energy metabolism	19	12	HMDB0000134;HMDB0001429;HMDB0001487;HMDB0001377;HMDB0000254;HMDB0000538;HMDB0001072;HMDB0002111;HMDB0001341;HMDB0001248;HMDB0059597;HMDB0000902	0.48636141753601136	0.14130434782608695	1.33687277154233	0.3037760577817128
beta-Alanine metabolism	map00410	Metabolism of other amino acids	34	15	HMDB0001377;HMDB0003125;HMDB0000221;HMDB0000051;HMDB0001487;HMDB0000148;HMDB0001491;HMDB0001248;HMDB0000217;HMDB0000902;HMDB0001967;HMDB0000191;HMDB0002111;HMDB0059597;HMDB0000208	0.516844612559294	0.06839186691312385	1.4832120335897665	0.3057911823227563
Amino sugar and nucleotide sugar metabolism	map00520	Carbohydrate metabolism	47	15	HMDB0002111;HMDB0000148;HMDB0001341;HMDB0000660;HMDB0000051;HMDB0000250;HMDB0000302;HMDB0000538;HMDB0001429;HMDB0000230;HMDB0001487;HMDB0000902;HMDB0003345;HMDB0001967;HMDB0000295	0.5232105821993314	0.06284658040665435	1.5014807405591892	0.31397509143870017
Taurine and hypotaurine metabolism	map00430	Metabolism of other amino acids	12	6	HMDB0000574;HMDB0002991;HMDB0001491;HMDB0001967;HMDB0001377;HMDB0002757	0.6119694364133439	0.137291280148423	1.3580804985068817	0.316833029269162
Glycine, serine and threonine metabolism	map00260	Amino acid metabolism	64	28	HMDB0000517;HMDB0002134;HMDB0000208;HMDB0001491;HMDB0000123;HMDB0001341;HMDB0003125;HMDB0000214;HMDB0000128;HMDB0000574;HMDB0000045;HMDB0000902;HMDB0000099;HMDB0001967;HMDB0000064;HMDB0000538;HMDB0001487;HMDB0001429;HMDB0000250;HMDB0001248;HMDB0001185;HMDB0000051;HMDB0000148;HMDB0000939;HMDB0001451;HMDB0001377;HMDB0000167;HMDB0002111	0.39049506896002756	0.1362862010221465	1.3062637237198818	0.33837673267251595
Starch and sucrose metabolism	map00500	Carbohydrate metabolism	61	18	HMDB0000221;HMDB0000250;HMDB0000660;HMDB0001487;HMDB0001341;HMDB0001491;HMDB0000217;HMDB0000024;HMDB0006857;HMDB0000902;HMDB0000295;HMDB0000122;HMDB0001348;HMDB0001429;HMDB0001967;HMDB0002111;HMDB0000538;HMDB0003345	0.4972317370004175	0.06371681415929203	1.5015259683186575	0.3532219778685377
Glycerophospholipid metabolism	map00564	Lipid metabolism	29	4	HMDB0001333;HMDB0001248;HMDB0001487;HMDB0000902	0.6432692307692318	0.2124756335282651	1.2282767916140176	0.3543128425315042
Phenylalanine metabolism	map00360	Amino acid metabolism	32	14	HMDB0000134;HMDB0000158;HMDB0001491;HMDB0000208;HMDB0000250;HMDB0001248;HMDB0003125;HMDB0002111;HMDB0000045;HMDB0000538;HMDB0001377;HMDB0000051;HMDB0000148;HMDB0001967	0.5661625283786034	0.027522935779816515	1.6066471550048766	0.3564945718574371
Butanoate metabolism	map00650	Carbohydrate metabolism	19	8	HMDB0001487;HMDB0000902;HMDB0000250;HMDB0001248;HMDB0000045;HMDB0000538;HMDB0000254;HMDB0002111	0.5180383128109718	0.20825515947467166	1.2525721739298032	0.35832076010803277
Androgen and Estrogen Metabolism	map00150	Lipid metabolism	33	8	HMDB0000295;HMDB0001377;HMDB0001487;HMDB0000217;HMDB0002111;HMDB0000221;HMDB0059597;HMDB0000902	0.5129743025935098	0.22326454033771106	1.2403278318994415	0.3637254461948147
Ubiquinone and other terpenoid-quinone biosynthesis	map00130	Cofactors and vitamins metabolism	20	9	HMDB0000221;HMDB0059597;HMDB0012188;HMDB0001377;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0000939;HMDB0001185	0.4967885636744332	0.21348314606741572	1.228387853162948	0.3665305267567285
Ketone Body Metabolism	map00072	Lipid metabolism	13	5	HMDB0001967;HMDB0002111;HMDB0000254;HMDB0000902;HMDB0001487	0.5861707065384449	0.222011385199241	1.2107117974700334	0.36698094829498557
Purine metabolism	map00230	Nucleotide metabolism	73	20	HMDB0000148;HMDB0000191;HMDB0002111;HMDB0000051;HMDB0001248;HMDB0000902;HMDB0000299;HMDB0000123;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0000134;HMDB0003125;HMDB0000045;HMDB0000221;HMDB0001967;HMDB0001341;HMDB0001377;HMDB0000250;HMDB0001429	0.4069600453117217	0.1824561403508772	1.2549543159552048	0.3681416499512635
Nicotinate and nicotinamide metabolism	map00760	Cofactors and vitamins metabolism	35	21	HMDB0001487;HMDB0001185;HMDB0000902;HMDB0000939;HMDB0000250;HMDB0001341;HMDB0001429;HMDB0000232;HMDB0012285;HMDB0002111;HMDB0000217;HMDB0001248;HMDB0001967;HMDB0001406;HMDB0001377;HMDB0059597;HMDB0000221;HMDB0003125;HMDB0000045;HMDB0000538;HMDB0000148	0.38326145421478	0.22145328719723184	1.1981047758821688	0.3724211959367473
Porphyrin metabolism	map00860	Cofactors and vitamins metabolism	39	14	HMDB0003125;HMDB0000051;HMDB0000936;HMDB0001162;HMDB0000902;HMDB0001248;HMDB0001377;HMDB0000295;HMDB0001097;HMDB0002111;HMDB0001491;HMDB0000123;HMDB0001487;HMDB0001967	0.5799951689927616	0.022018348623853212	1.6459012058736062	0.3781664164950373
Pyruvate metabolism	map00620	Carbohydrate metabolism	47	17	HMDB0001429;HMDB0001311;HMDB0001487;HMDB0000250;HMDB0001333;HMDB0000217;HMDB0000990;HMDB0000538;HMDB0001248;HMDB0002111;HMDB0001341;HMDB0000223;HMDB0000045;HMDB0000221;HMDB0059597;HMDB0001967;HMDB0000902	0.4237625269673947	0.17168141592920355	1.2678475061959726	0.37874821098195277
Steroid hormone biosynthesis	map00140	Lipid metabolism	43	10	HMDB0000217;HMDB0000221;HMDB0000902;HMDB0004026;HMDB0001487;HMDB0004031;HMDB0001377;HMDB0059597;HMDB0002111;HMDB0002802	0.4865424735352045	0.1891891891891892	1.2575862158172568	0.38000488707369007
Tyrosine metabolism	map00350	Amino acid metabolism	74	28	HMDB0000044;HMDB0000148;HMDB0000191;HMDB0002111;HMDB0003474;HMDB0000051;HMDB0001248;HMDB0000164;HMDB0000902;HMDB0000020;HMDB0001491;HMDB0001264;HMDB0000217;HMDB0001487;HMDB0004067;HMDB0000223;HMDB0000134;HMDB0003125;HMDB0001253;HMDB0000939;HMDB0001430;HMDB0000208;HMDB0059597;HMDB0000221;HMDB0001185;HMDB0001967;HMDB0000158;HMDB0001377	0.5046602472061692	0.010221465076660987	1.6881631194078064	0.41540126365762553
Fatty acid elongation	map00062	Lipid metabolism	35	9	HMDB0003948;HMDB0000902;HMDB0059597;HMDB0003932;HMDB0002111;HMDB0000221;HMDB0003937;HMDB0001487;HMDB0000217	0.4612926380012238	0.3202247191011236	1.1406185945245386	0.4328037634574198
Propanoate metabolism	map00640	Carbohydrate metabolism	42	16	HMDB0001429;HMDB0001487;HMDB0000250;HMDB0001333;HMDB0001275;HMDB0000148;HMDB0000538;HMDB0001248;HMDB0002111;HMDB0001341;HMDB0000045;HMDB0059597;HMDB0000208;HMDB0001491;HMDB0001967;HMDB0000902	0.38400272935770274	0.2983425414364641	1.127410766302107	0.43928808302041106
