Reactome.Name	Reactome.ID	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Fatty acids	R-HSA-211935	11	4	HMDB0000221;HMDB0002111;HMDB0059597;HMDB0001377	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566
Synthesis of bile acids and bile salts via 24-hydroxycholesterol	R-HSA-193775	13	4	HMDB0001377;HMDB0059597;HMDB0002111;HMDB0000221	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566
Tolerance by Mtb to nitric oxide produced by macrophages	R-HSA-1222538	12	4	HMDB0001377;HMDB0000051;HMDB0002111;HMDB0059597	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566
Mineralocorticoid biosynthesis	R-HSA-193993	12	4	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	R-HSA-211957	10	4	HMDB0002111;HMDB0001377;HMDB0000221;HMDB0059597	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566
Xenobiotics	R-HSA-211981	28	4	HMDB0000221;HMDB0001377;HMDB0002111;HMDB0059597	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566
Estrogen biosynthesis	R-HSA-193144	10	4	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566
Pregnenolone biosynthesis	R-HSA-196108	11	4	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566
Beta-oxidation of very long chain fatty acids	R-HSA-390247	11	7	HMDB0003125;HMDB0000221;HMDB0001967;HMDB0003950;HMDB0001377;HMDB0002111;HMDB0059597	0.5593414336640519	0.17625899280575538	1.3106304513714853	0.2942135309983978
Eicosanoids	R-HSA-211979	11	5	HMDB0002111;HMDB0001377;HMDB0001509;HMDB0059597;HMDB0000221	0.6373701096227797	0.1442125237191651	1.3164620859886942	0.2945969711671714
Melanin biosynthesis	R-HSA-5662702	11	5	HMDB0004067;HMDB0002111;HMDB0001377;HMDB0059597;HMDB0001967	0.6158285871700147	0.17077798861480076	1.2719689458878458	0.35271105210595805
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	R-HSA-77346	11	4	HMDB0059597;HMDB0002111;HMDB0000221;HMDB0003948	0.6644230769230779	0.18518518518518517	1.2686685545669447	0.35276811245701306
Synthesis of PC	R-HSA-1483191	14	4	HMDB0001333;HMDB0005041;HMDB0014812;HMDB0002111	0.6567307692307703	0.1968810916179337	1.2539806407658804	0.3554523514976982
Paracetamol ADME	R-HSA-9753281	11	4	HMDB0001333;HMDB0059597;HMDB0001377;HMDB0002111	0.6567307692307705	0.1968810916179337	1.2539806407658807	0.36353081403173676
Androgen biosynthesis	R-HSA-193048	12	4	HMDB0059597;HMDB0002111;HMDB0001377;HMDB0000990	0.6923076923076933	0.14814814814814814	1.3219122420958034	0.37027723133707835
Retinoid metabolism and transport	R-HSA-975634	18	4	HMDB0001852;HMDB0002111;HMDB0059597;HMDB0001377	0.6923076923076933	0.14814814814814814	1.3219122420958034	0.37027723133707835
Aspirin ADME	R-HSA-9749641	15	4	HMDB0002111;HMDB0000295;HMDB0059597;HMDB0001377	0.6923076923076933	0.14814814814814814	1.3219122420958034	0.37027723133707835
Sphingolipid de novo biosynthesis	R-HSA-1660661	19	4	HMDB0059597;HMDB0002111;HMDB0001377;HMDB0001967	0.6923076923076933	0.14814814814814814	1.3219122420958034	0.37027723133707835
Phase I - Functionalization of compounds	R-HSA-211945	33	5	HMDB0002111;HMDB0003125;HMDB0000051;HMDB0059597;HMDB0001377	0.6073147256977874	0.19165085388994307	1.2543839106558352	0.3713035074968625
Adrenoceptors	R-HSA-390696	27	1	HMDB0001932	0.9280920421860019	0.15447154471544716	1.2404502810349587	0.374519335477164
Neurotransmitter clearance	R-HSA-112311	11	3	HMDB0005041;HMDB0014812;HMDB0002111	0.6916426512968235	0.25925925925925924	1.1953814059376444	0.39025442729634663
ROS and RNS production in phagocytes	R-HSA-1222556	20	6	HMDB0003125;HMDB0001967;HMDB0001377;HMDB0059597;HMDB0002111;HMDB0001333	0.6078998073217707	0.14100185528756956	1.34904919142427	0.39468057246802996
Pyrimidine catabolism	R-HSA-73621	17	4	HMDB0001967;HMDB0002111;HMDB0000273;HMDB0059597	0.6382270434068651	0.2222222222222222	1.2186490938788739	0.3947914342885342
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	R-HSA-2142670	11	3	HMDB0002111;HMDB0001377;HMDB0059597	0.6916426512968255	0.25925925925925924	1.195381405937648	0.3976177183774098
eNOS activation	R-HSA-203615	15	3	HMDB0059597;HMDB0001377;HMDB0002111	0.6916426512968255	0.25925925925925924	1.195381405937648	0.3976177183774098
The canonical retinoid cycle in rods (twilight vision)	R-HSA-2453902	12	3	HMDB0059597;HMDB0001377;HMDB0002111	0.6916426512968255	0.25925925925925924	1.195381405937648	0.3976177183774098
Iron uptake and transport	R-HSA-917937	10	3	HMDB0059597;HMDB0001377;HMDB0002111	0.6916426512968255	0.25925925925925924	1.195381405937648	0.3976177183774098
Glucuronidation	R-HSA-156588	16	3	HMDB0000295;HMDB0014813;HMDB0002111	0.7060651427905302	0.23391812865497075	1.2203081193590124	0.40007369937644627
Glyoxylate metabolism and glycine degradation	R-HSA-389661	13	6	HMDB0000221;HMDB0059597;HMDB0001377;HMDB0003125;HMDB0002111;HMDB0001185	0.6078998073217708	0.14100185528756956	1.3490491914242702	0.41262059848930394
Tryptophan catabolism	R-HSA-71240	14	5	HMDB0059597;HMDB0000715;HMDB0001967;HMDB0001377;HMDB0002111	0.6616973670269132	0.10815939278937381	1.366709048538575	0.41492425317893283
Degradation of cysteine and homocysteine	R-HSA-1614558	15	6	HMDB0000051;HMDB0002991;HMDB0001967;HMDB0001377;HMDB0059597;HMDB0002111	0.6194605009633892	0.12244897959183673	1.3747046435591213	0.41988704955111217
Linoleic acid (LA) metabolism	R-HSA-2046105	11	4	HMDB0001377;HMDB0000221;HMDB0002111;HMDB0001967	0.6923076923076934	0.14814814814814814	1.3219122420958036	0.4272429592350904
Extra-nuclear estrogen signaling	R-HSA-9009391	12	3	HMDB0001185;HMDB0002111;HMDB0001377	0.6916426512968304	0.25925925925925924	1.1953814059376566	0.43007630763270854
Sensory perception of sweet, bitter, and umami (glutamate) taste	R-HSA-9717207	49	6	HMDB0001894;HMDB0003546;HMDB0003345;HMDB0014589;HMDB0002802;HMDB0002111	0.5204469991477246	0.28385899814471244	1.1549742160187735	0.43143134672903666
Detoxification of Reactive Oxygen Species	R-HSA-3299685	14	6	HMDB0000221;HMDB0002111;HMDB0001333;HMDB0003125;HMDB0059597;HMDB0001377	0.607899807321771	0.14100185528756956	1.3490491914242704	0.43226919841736605
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB	R-HSA-141333	11	4	HMDB0003125;HMDB0002111;HMDB0001377;HMDB0000051	0.6067307692307704	0.28654970760233917	1.1585092010589615	0.43355666539648113
Synthesis of bile acids and bile salts via 27-hydroxycholesterol	R-HSA-193807	12	6	HMDB0000221;HMDB0059597;HMDB0001231;HMDB0001377;HMDB0002111;HMDB0012455	0.621845620228203	0.12059369202226346	1.379997692145242	0.435744207165246
Olfactory Signaling Pathway	R-HSA-381753	42	1	HMDB0003441	0.9913710450623202	0.022357723577235773	1.3250264365600695	0.4364720436431483
Purine catabolism	R-HSA-74259	17	4	HMDB0002111;HMDB0003125;HMDB0001377;HMDB0059597	0.6067307692307707	0.28654970760233917	1.1585092010589622	0.4412987487071326
Cytoprotection by HMOX1	R-HSA-9707564	15	4	HMDB0002111;HMDB0059597;HMDB0003125;HMDB0001377	0.6067307692307707	0.28654970760233917	1.1585092010589622	0.4412987487071326
Class C/3 (Metabotropic glutamate/pheromone receptors)	R-HSA-420499	28	4	HMDB0014589;HMDB0003345;HMDB0001894;HMDB0003546	0.5986505589657569	0.3079922027290448	1.1430806149162522	0.44188309556717914
Phenylalanine metabolism	R-HSA-8964208	13	6	HMDB0002111;HMDB0001377;HMDB0000051;HMDB0059597;HMDB0001894;HMDB0003125	0.597302504816954	0.15584415584415584	1.3255316936339898	0.44919960521067825
Methylation	R-HSA-156581	20	5	HMDB0000926;HMDB0000221;HMDB0001377;HMDB0002111;HMDB0059597	0.67036265256612	0.10056925996204934	1.3846068440335402	0.4542781236691071
Nitric oxide stimulates guanylate cyclase	R-HSA-392154	11	1	HMDB0001377	0.8408437200383513	0.31910569105691056	1.123837702962458	0.46270288723491987
Maturation of nucleoprotein	R-HSA-9694631	10	4	HMDB0059597;HMDB0000939;HMDB0001406;HMDB0001185	0.586329990864563	0.3391812865497076	1.11955536742369	0.46328455982996486
Endogenous sterols	R-HSA-211976	30	5	HMDB0001377;HMDB0002111;HMDB0010315;HMDB0000221;HMDB0059597	0.675595939227075	0.09867172675521822	1.3954159851749954	0.469741832119897
Synthesis of IP2, IP, and Ins in the cytosol	R-HSA-1855183	14	5	HMDB0059597;HMDB0006235;HMDB0000211;HMDB0001377;HMDB0002111	0.6786287646887819	0.0967741935483871	1.4016801630419515	0.4827854279475687
Synthesis of Lipoxins (LX)	R-HSA-2142700	12	5	HMDB0004244;HMDB0059597;HMDB0001377;HMDB0002111;HMDB0005082	0.6811463140394118	0.09108159392789374	1.4068800590202415	0.497692394607765
Heme biosynthesis	R-HSA-189451	15	7	HMDB0001097;HMDB0001967;HMDB0002111;HMDB0001377;HMDB0059597;HMDB0001162;HMDB0003125	0.6039780020691478	0.10611510791366907	1.4152213904213933	0.5045498013313219
Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	R-HSA-1474151	10	2	HMDB0059597;HMDB0002111	0.690978886756235	0.4063745019920319	1.0697962814900752	0.5179425818660036
Purine salvage	R-HSA-74217	14	2	HMDB0002111;HMDB0059597	0.690978886756235	0.4063745019920319	1.0697962814900752	0.5179425818660036
Smooth Muscle Contraction	R-HSA-445355	15	2	HMDB0002111;HMDB0059597	0.690978886756235	0.4063745019920319	1.0697962814900752	0.5179425818660036
Alpha-oxidation of phytanate	R-HSA-389599	15	6	HMDB0003419;HMDB0002111;HMDB0001377;HMDB0059597;HMDB0000221;HMDB0001967	0.6401926332429215	0.10018552875695733	1.4207133212249785	0.5201636618061611
RA biosynthesis pathway	R-HSA-5365859	14	5	HMDB0001377;HMDB0002111;HMDB0000221;HMDB0059597;HMDB0001852	0.6929740134744954	0.0777988614800759	1.4313096920320136	0.5210647512255737
