reactome_name	reactome_id	up_reactome_name	up_reactome_id	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Fatty acids	R-HSA-211935	Cytochrome P450 - arranged by substrate type	R-HSA-211897	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0304435;HMDB0244455;HMDB0000638;HMDB0004264;HMDB0002190;HMDB0002232;HMDB0002059	11	4	HMDB0000221;HMDB0002111;HMDB0059597;HMDB0001377	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566	0.2923241300029566
Synthesis of bile acids and bile salts via 24-hydroxycholesterol	R-HSA-193775	Synthesis of bile acids and bile salts	R-HSA-192105	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000067;HMDB0000221;HMDB0304435;HMDB0006890;HMDB0001419;HMDB0060136;HMDB0062224;HMDB0062416;HMDB0062208;HMDB0062206	13	4	HMDB0001377;HMDB0059597;HMDB0002111;HMDB0000221	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566	0.2923241300029566
Tolerance by Mtb to nitric oxide produced by macrophages	R-HSA-1222538	Latent infection - Other responses of Mtb to phagocytosis	R-HSA-1222499	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000051;HMDB0033934;HMDB0003378;HMDB0000125;HMDB0003178;HMDB0002878;HMDB0015532;HMDB0255649;HMDB0004645	12	4	HMDB0001377;HMDB0000051;HMDB0002111;HMDB0059597	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566	0.2923241300029566
Mineralocorticoid biosynthesis	R-HSA-193993	Metabolism of steroid hormones	R-HSA-196071	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0000319;HMDB0000253;HMDB0001547;HMDB0000016;HMDB0001830;HMDB0304435;HMDB0000037;HMDB0062521	12	4	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566	0.2923241300029566
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	R-HSA-211957	Xenobiotics	R-HSA-211981	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0062723;HMDB0001426;HMDB0013195;HMDB0304435;HMDB0001860;HMDB0001847	10	4	HMDB0002111;HMDB0001377;HMDB0000221;HMDB0059597	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566	0.2923241300029566
Xenobiotics	R-HSA-211981	Cytochrome P450 - arranged by substrate type	R-HSA-211897	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0001426;HMDB0000234;HMDB0304435;HMDB0029594;HMDB0013856;HMDB0006552;HMDB0029865;HMDB0255987;HMDB0015256;HMDB0258755;HMDB0001218;HMDB0060552;HMDB0006558;HMDB0006543;HMDB0015360;HMDB0006408;HMDB0006468;HMDB0041905;HMDB0014010;HMDB0011664;HMDB0255118;HMDB0004999;HMDB0014397;HMDB0000466	28	4	HMDB0000221;HMDB0001377;HMDB0002111;HMDB0059597	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566	0.2923241300029566
Estrogen biosynthesis	R-HSA-193144	Metabolism of steroid hormones	R-HSA-196071	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0304356;HMDB0000053;HMDB0000151;HMDB0000221;HMDB0000145;HMDB0000234;HMDB0304435	10	4	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566	0.2923241300029566
Pregnenolone biosynthesis	R-HSA-196108	Metabolism of steroid hormones	R-HSA-196071	HMDB0006763;HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000067;HMDB0000221;HMDB0000253;HMDB0000432;HMDB0001318;HMDB0304435;HMDB0059889	11	4	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221	0.6923076923076932	0.14814814814814814	1.3219122420958032	0.2923241300029566	0.2923241300029566
Beta-oxidation of very long chain fatty acids	R-HSA-390247	Peroxisomal lipid metabolism	R-HSA-390918	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001070;HMDB0003125;HMDB0000221;HMDB0001967;HMDB0304435;HMDB0003949;HMDB0003950;HMDB0006459	11	7	HMDB0003125;HMDB0000221;HMDB0001967;HMDB0003950;HMDB0001377;HMDB0002111;HMDB0059597	0.5593414336640519	0.17625899280575538	1.3106304513714853	0.2942135309983978	0.2942135309983978
Eicosanoids	R-HSA-211979	Cytochrome P450 - arranged by substrate type	R-HSA-211897	HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001335;HMDB0001381;HMDB0001452;HMDB0001509;HMDB0001085;HMDB0002995;HMDB0000221;HMDB0304435	11	5	HMDB0002111;HMDB0001377;HMDB0001509;HMDB0059597;HMDB0000221	0.6373701096227797	0.1442125237191651	1.3164620859886942	0.2945969711671714	0.2945969711671714
