SMPDB.Name	SMPDB.ID	Pathway.Class	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	SMP0000188	Disease	52	48	HMDB0004224;HMDB0001487;HMDB0000208;HMDB0000051;HMDB0000064;HMDB0001185;HMDB0000902;HMDB0000052;HMDB0000939;HMDB0000254;HMDB0000250;HMDB0001301;HMDB0000725;HMDB0001341;HMDB0000223;HMDB0001429;HMDB0001096;HMDB0002070;HMDB0000162;HMDB0000294;HMDB0002111;HMDB0006556;HMDB0000217;HMDB0001248;HMDB0000214;HMDB0001967;HMDB0003411;HMDB0001377;HMDB0001333;HMDB0000134;HMDB0059597;HMDB0003125;HMDB0006875;HMDB0000221;HMDB0001491;HMDB0000128;HMDB0002234;HMDB0000123;HMDB0001511;HMDB0002273;HMDB0000191;HMDB0000517;HMDB0001369;HMDB0000045;HMDB0000538;HMDB0000148;HMDB0002104;HMDB0000904	0.5620050073728872	0.0	2.110549114205753	0.0
Hyperprolinemia Type II	SMP0000360	Disease	52	48	HMDB0004224;HMDB0000064;HMDB0000045;HMDB0006556;HMDB0000538;HMDB0001248;HMDB0000294;HMDB0000217;HMDB0001341;HMDB0001333;HMDB0000221;HMDB0000051;HMDB0000725;HMDB0001967;HMDB0001301;HMDB0000214;HMDB0000904;HMDB0002104;HMDB0001369;HMDB0000208;HMDB0000191;HMDB0002234;HMDB0001096;HMDB0006875;HMDB0001429;HMDB0000223;HMDB0001491;HMDB0000250;HMDB0000517;HMDB0001487;HMDB0000939;HMDB0002070;HMDB0000128;HMDB0001185;HMDB0000134;HMDB0000902;HMDB0001377;HMDB0000254;HMDB0003125;HMDB0002111;HMDB0001511;HMDB0002273;HMDB0000148;HMDB0000162;HMDB0000123;HMDB0000052;HMDB0003411;HMDB0059597	0.5620050073728872	0.0	2.110549114205753	0.0
Hyperornithinemia-Hyperammonemia-Homocitrullinuria (HHH-syndrome)	SMP0000506	Disease	52	48	HMDB0003125;HMDB0001377;HMDB0000250;HMDB0000128;HMDB0001511;HMDB0001096;HMDB0000148;HMDB0000939;HMDB0002111;HMDB0000294;HMDB0002273;HMDB0000045;HMDB0006556;HMDB0000725;HMDB0000064;HMDB0000517;HMDB0001185;HMDB0000123;HMDB0000214;HMDB0000162;HMDB0001333;HMDB0002234;HMDB0001341;HMDB0006875;HMDB0000208;HMDB0000904;HMDB0000221;HMDB0001491;HMDB0001301;HMDB0000902;HMDB0001487;HMDB0000051;HMDB0002070;HMDB0003411;HMDB0000223;HMDB0059597;HMDB0000134;HMDB0001429;HMDB0000217;HMDB0000254;HMDB0000538;HMDB0001248;HMDB0000052;HMDB0002104;HMDB0001369;HMDB0000191;HMDB0004224;HMDB0001967	0.5620050073728872	0.0	2.110549114205753	0.0
Hyperornithinemia with Gyrate Atrophy (HOGA)	SMP0000505	Disease	52	48	HMDB0000052;HMDB0000223;HMDB0000939;HMDB0006875;HMDB0000250;HMDB0001491;HMDB0000254;HMDB0000123;HMDB0000294;HMDB0000064;HMDB0003125;HMDB0001369;HMDB0001429;HMDB0001248;HMDB0000051;HMDB0000221;HMDB0000191;HMDB0000045;HMDB0000134;HMDB0001096;HMDB0000517;HMDB0003411;HMDB0000208;HMDB0000904;HMDB0001301;HMDB0001185;HMDB0000214;HMDB0002273;HMDB0006556;HMDB0001487;HMDB0000162;HMDB0002234;HMDB0059597;HMDB0002111;HMDB0002104;HMDB0002070;HMDB0000217;HMDB0001341;HMDB0004224;HMDB0000725;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0000128;HMDB0001511;HMDB0001377;HMDB0000902;HMDB0001333	0.5620050073728872	0.0	2.110549114205753	0.0
Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency	SMP0000504	Disease	52	48	HMDB0001248;HMDB0000538;HMDB0002111;HMDB0000223;HMDB0000045;HMDB0000123;HMDB0006875;HMDB0001341;HMDB0001967;HMDB0000517;HMDB0000902;HMDB0000208;HMDB0000191;HMDB0001096;HMDB0000254;HMDB0000294;HMDB0001491;HMDB0000221;HMDB0000214;HMDB0001487;HMDB0002104;HMDB0000134;HMDB0000217;HMDB0000052;HMDB0000725;HMDB0000064;HMDB0001429;HMDB0004224;HMDB0001377;HMDB0059597;HMDB0001301;HMDB0001333;HMDB0000128;HMDB0003125;HMDB0000051;HMDB0001369;HMDB0000250;HMDB0000148;HMDB0000939;HMDB0003411;HMDB0001511;HMDB0000904;HMDB0002234;HMDB0006556;HMDB0002070;HMDB0001185;HMDB0002273;HMDB0000162	0.5620050073728872	0.0	2.110549114205753	0.0
Prolinemia Type II	SMP0000208	Disease	52	48	HMDB0002111;HMDB0000064;HMDB0000123;HMDB0001341;HMDB0000051;HMDB0000254;HMDB0000128;HMDB0000294;HMDB0001369;HMDB0001377;HMDB0000217;HMDB0001511;HMDB0000134;HMDB0000725;HMDB0000214;HMDB0002104;HMDB0003411;HMDB0002273;HMDB0001491;HMDB0000162;HMDB0002070;HMDB0000148;HMDB0000191;HMDB0001185;HMDB0000221;HMDB0000208;HMDB0059597;HMDB0001487;HMDB0003125;HMDB0001301;HMDB0001967;HMDB0001096;HMDB0000045;HMDB0004224;HMDB0006875;HMDB0000902;HMDB0000904;HMDB0000250;HMDB0002234;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0006556;HMDB0000517;HMDB0001333;HMDB0000223;HMDB0000052;HMDB0000939	0.5620050073728872	0.0	2.110549114205753	0.0
Ornithine Aminotransferase Deficiency (OAT Deficiency)	SMP0000363	Disease	52	48	HMDB0004224;HMDB0001487;HMDB0000208;HMDB0000051;HMDB0000064;HMDB0001185;HMDB0000902;HMDB0000052;HMDB0000939;HMDB0000254;HMDB0000250;HMDB0001301;HMDB0000725;HMDB0001341;HMDB0000223;HMDB0001429;HMDB0001096;HMDB0002070;HMDB0000162;HMDB0000294;HMDB0002111;HMDB0006556;HMDB0000217;HMDB0001248;HMDB0000214;HMDB0001967;HMDB0003411;HMDB0001377;HMDB0001333;HMDB0000134;HMDB0059597;HMDB0003125;HMDB0006875;HMDB0000221;HMDB0001491;HMDB0000128;HMDB0002234;HMDB0000123;HMDB0001511;HMDB0002273;HMDB0000191;HMDB0000517;HMDB0001369;HMDB0000045;HMDB0000538;HMDB0000148;HMDB0002104;HMDB0000904	0.5620050073728872	0.0	2.110549114205753	0.0
Arginine and Proline Metabolism	SMP0000020	Metabolic	52	48	HMDB0002111;HMDB0000064;HMDB0000123;HMDB0001341;HMDB0000051;HMDB0000254;HMDB0000128;HMDB0000294;HMDB0001369;HMDB0001377;HMDB0000217;HMDB0001511;HMDB0000134;HMDB0000725;HMDB0000214;HMDB0002104;HMDB0003411;HMDB0002273;HMDB0001491;HMDB0000162;HMDB0002070;HMDB0000148;HMDB0000191;HMDB0001185;HMDB0000221;HMDB0000208;HMDB0059597;HMDB0001487;HMDB0003125;HMDB0001301;HMDB0001967;HMDB0001096;HMDB0000045;HMDB0004224;HMDB0006875;HMDB0000902;HMDB0000904;HMDB0000250;HMDB0002234;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0006556;HMDB0000517;HMDB0001333;HMDB0000223;HMDB0000052;HMDB0000939	0.5620050073728872	0.0	2.110549114205753	0.0
Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	SMP0000362	Disease	52	48	HMDB0004224;HMDB0000064;HMDB0000045;HMDB0006556;HMDB0000538;HMDB0001248;HMDB0000294;HMDB0000217;HMDB0001341;HMDB0001333;HMDB0000221;HMDB0000051;HMDB0000725;HMDB0001967;HMDB0001301;HMDB0000214;HMDB0000904;HMDB0002104;HMDB0001369;HMDB0000208;HMDB0000191;HMDB0002234;HMDB0001096;HMDB0006875;HMDB0001429;HMDB0000223;HMDB0001491;HMDB0000250;HMDB0000517;HMDB0001487;HMDB0000939;HMDB0002070;HMDB0000128;HMDB0001185;HMDB0000134;HMDB0000902;HMDB0001377;HMDB0000254;HMDB0003125;HMDB0002111;HMDB0001511;HMDB0002273;HMDB0000148;HMDB0000162;HMDB0000123;HMDB0000052;HMDB0003411;HMDB0059597	0.5620050073728872	0.0	2.110549114205753	0.0
L-Arginine:Glycine Amidinotransferase Deficiency	SMP0000507	Disease	52	48	HMDB0004224;HMDB0000517;HMDB0000052;HMDB0059597;HMDB0001301;HMDB0001511;HMDB0000208;HMDB0001491;HMDB0000123;HMDB0000254;HMDB0001369;HMDB0001341;HMDB0003125;HMDB0000725;HMDB0002273;HMDB0000191;HMDB0006875;HMDB0006556;HMDB0000128;HMDB0000223;HMDB0000134;HMDB0000045;HMDB0000902;HMDB0001967;HMDB0000064;HMDB0000538;HMDB0001487;HMDB0002234;HMDB0002070;HMDB0001429;HMDB0000250;HMDB0000294;HMDB0001248;HMDB0003411;HMDB0002104;HMDB0001185;HMDB0000051;HMDB0000221;HMDB0000148;HMDB0000162;HMDB0000939;HMDB0000217;HMDB0001333;HMDB0001377;HMDB0000214;HMDB0000904;HMDB0001096;HMDB0002111	0.5620050073728872	0.0	2.110549114205753	0.0
