"metID" "metID_v2" "HBM_ID" "HMDB_ID_unique"
"HUBMet000377" "HMDB0000050" "HUBMet000377" "HMDB0000050"
"HUBMet001612" "HMDB0000112" "HUBMet001612" "HMDB0000112"
"HUBMet001644" "HMDB0000132" "HUBMet001644" "HMDB0000132"
"HUBMet001695" "HMDB0000148" "HUBMet001695" "HMDB0000148"
"HUBMet000003" "HMDB0000161" "HUBMet000003" "HMDB0000161"
"HUBMet000012" "HMDB0000168" "HUBMet000012" "HMDB0000168"
"HUBMet001691" "HMDB0000191" "HUBMet001691" "HMDB0000191"
"HUBMet002279" "HMDB0000232" "HUBMet002279" "HMDB0000232"
"HUBMet001705" "HMDB0000279" "HUBMet001705" "HMDB0000279"
"HUBMet001434" "HMDB0000426" "HUBMet001434" "HMDB0000426"
"HMDB0000430" "HMDB0000430" NA "HMDB0000430"
"HUBMet001689" "HMDB0000517" "HUBMet001689" "HMDB0000517"
"HUBMet000210" "HMDB0000522" "HUBMet000210" "HMDB0000522"
"HMDB0000588" "HMDB0000588" NA "HMDB0000588"
"HUBMet002055" "HMDB0000593" "HUBMet002055" "HMDB0000593"
"HUBMet001696" "HMDB0000641" "HUBMet001696" "HMDB0000641"
"HUBMet001699" "HMDB0000687" "HUBMet001699" "HMDB0000687"
"HUBMet001796" "HMDB0000812" "HUBMet001796" "HMDB0000812"
"HMDB0000890" "HMDB0000890" NA "HMDB0000890"
"HUBMet000452" "HMDB0001067" "HUBMet000452" "HMDB0001067"
"HUBMet000341" "HMDB0001138" "HUBMet000341" "HMDB0001138"
"HMDB0001184" "HMDB0001184" NA "HMDB0001184"
"HMDB0001198" "HMDB0001198" NA "HMDB0001198"
"HUBMet003510" "HMDB0001202" "HUBMet003510" "HMDB0001202"
"HMDB0001242" "HMDB0001242" NA "HMDB0001242"
"HMDB0001252" "HMDB0001252" NA "HMDB0001252"
"HMDB0001261" "HMDB0001261" NA "HMDB0001261"
"HUBMet000354" "HMDB0001301" "HUBMet000354" "HMDB0001301"
"HUBMet000003" "HMDB0001310" "HUBMet000003" "HMDB0001310"
"HMDB0001335" "HMDB0001335" NA "HMDB0001335"
"HMDB0001356" "HMDB0001356" NA "HMDB0001356"
"HUBMet001646" "HMDB0001397" "HUBMet001646" "HMDB0001397"
"HUBMet000847" "HMDB0001552" "HUBMet000847" "HMDB0001552"
"HMDB0002027" "HMDB0002027" NA "HMDB0002027"
"HMDB0002137" "HMDB0002137" NA "HMDB0002137"
"HUBMet000492" "HMDB0002201" "HUBMet000492" "HMDB0002201"
"HMDB0002202" "HMDB0002202" NA "HMDB0002202"
"HUBMet000570" "HMDB0002273" "HUBMet000570" "HMDB0002273"
"HMDB0002282" "HMDB0002282" NA "HMDB0002282"
"HMDB0002306" "HMDB0002306" NA "HMDB0002306"
"HMDB0002364" "HMDB0002364" NA "HMDB0002364"
"HMDB0002451" "HMDB0002451" NA "HMDB0002451"
"HMDB0002488" "HMDB0002488" NA "HMDB0002488"
"HMDB0002755" "HMDB0002755" NA "HMDB0002755"
"HMDB0003146" "HMDB0003146" NA "HMDB0003146"
"HUBMet000258" "HMDB0003231" "HUBMet000258" "HMDB0003231"
"HUBMet000010" "HMDB0003339" "HUBMet000010" "HMDB0003339"
"HMDB0003551" "HMDB0003551" NA "HMDB0003551"
"HMDB0003625" "HMDB0003625" NA "HMDB0003625"
"HMDB0004977" "HMDB0004977" NA "HMDB0004977"
"HUBMet003624" "HMDB0005031" "HUBMet003624" "HMDB0005031"
"HUBMet002548" "HMDB0005384" "HUBMet002548" "HMDB0005384"
"HUBMet002548" "HMDB0005425" "HUBMet002548" "HMDB0005425"
"HUBMet002548" "HMDB0005434" "HUBMet002548" "HMDB0005434"
"HUBMet002548" "HMDB0005438" "HUBMet002548" "HMDB0005438"
"HMDB0005973" "HMDB0005973" NA "HMDB0005973"
"HUBMet000453" "HMDB0006028" "HUBMet000453" "HMDB0006028"
"HUBMet000342" "HMDB0006029" "HUBMet000342" "HMDB0006029"
"HMDB0006117" "HMDB0006117" NA "HMDB0006117"
"HUBMet001034" "HMDB0006483" "HUBMet001034" "HMDB0006483"
"HMDB0006975" "HMDB0006975" NA "HMDB0006975"
"HUBMet001452" "HMDB0007014" "HUBMet001452" "HMDB0007014"
"HUBMet001452" "HMDB0007042" "HUBMet001452" "HMDB0007042"
"HUBMet001452" "HMDB0007099" "HUBMet001452" "HMDB0007099"
"HUBMet001483" "HMDB0007118" "HUBMet001483" "HMDB0007118"
